it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,339.2,0.3292,0.0,0.9644,0.9978,1.014,0.001
20,277.3,58.87,0.0,0.7147,0.6688,1.167,0.001
40,209.0,62.93,0.0,0.3717,0.6904,1.238,0.001
60,181.3,81.73,0.0,0.2668,0.3909,1.388,0.001
80,171.7,90.09,0.0,0.2288,0.2589,1.505,0.001
100,160.9,90.85,0.0,0.19,0.2617,1.499,0.001
120,136.6,83.37,0.0,0.1368,0.244,1.465,0.001
140,108.0,76.26,0.0,0.06985,0.215,1.402,0.001
160,89.8,63.38,0.0,0.05221,0.2152,1.364,0.001
180,77.12,51.65,0.0,0.04325,0.2499,1.326,0.001
200,67.02,46.12,0.0,0.02325,0.2785,1.295,0.001
