it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,352.4,0.1002,0.0,1.008,0.9988,1.008,0.001
20,274.3,29.66,0.0,0.7525,0.6744,1.221,0.001
40,196.5,111.8,0.0,0.2053,0.4622,1.446,0.001
60,166.8,70.53,0.0,0.2485,0.4349,1.445,0.001
80,151.3,85.8,0.0,0.1847,0.2016,1.642,0.001
100,138.2,88.03,0.0,0.1386,0.1715,1.651,0.001
120,116.2,84.3,0.0,0.08436,0.131,1.572,0.001
140,90.14,65.18,0.0,0.05946,0.1424,1.473,0.001
160,72.12,49.61,0.0,0.04606,0.1737,1.414,0.001
180,66.6,48.71,0.0,0.03069,0.1736,1.395,0.001
200,60.87,43.8,0.0,0.02615,0.1844,1.374,0.001
