it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,348.9,0.2426,0.0,0.997,0.9962,0.9928,0.001
20,311.6,3.44,0.0,0.8779,0.9605,1.047,0.001
40,216.4,32.11,0.0,0.5723,0.8093,1.197,0.001
60,98.99,217.6,0.0,0.1306,0.326,1.504,0.001
80,108.1,277.1,0.0,0.08002,0.204,1.557,0.001
100,111.1,187.5,0.0,0.1143,0.2855,1.519,0.001
120,121.7,186.6,0.0,0.1096,0.2825,1.52,0.001
140,126.5,159.2,0.0,0.1206,0.3201,1.5,0.001
160,131.5,142.5,0.0,0.1312,0.3232,1.493,0.001
180,132.8,129.2,0.0,0.1404,0.2627,1.521,0.001
200,119.5,105.5,0.0,0.1338,0.1812,1.579,0.001
220,101.8,93.82,0.0,0.09144,0.1111,1.653,0.001
240,89.16,79.66,0.0,0.07007,0.08817,1.65,0.001
260,92.34,82.68,0.0,0.05637,0.07548,1.602,0.001
280,85.44,72.98,0.0,0.04253,0.09142,1.535,0.001
300,76.54,58.14,0.0,0.04201,0.1159,1.49,0.001
320,74.71,60.25,0.0,0.0279,0.1218,1.464,0.001
340,70.97,55.01,0.0,0.03183,0.1282,1.448,0.001
360,66.0,50.43,0.0,0.02882,0.1384,1.425,0.001
380,59.97,46.02,0.0,0.02437,0.1327,1.42,0.001
400,55.72,42.23,0.0,0.02182,0.139,1.399,0.001
420,52.6,39.41,0.0,0.02142,0.1352,1.395,0.001
440,51.49,39.74,0.0,0.01634,0.137,1.382,0.001
460,48.4,37.18,0.0,0.01613,0.1276,1.384,0.001
480,46.52,36.12,0.0,0.01342,0.1273,1.378,0.001
500,49.56,40.3,0.0,0.01362,0.1035,1.386,0.001
520,48.11,39.96,0.0,0.01155,0.0938,1.383,0.001
540,39.41,32.4,0.0,0.009749,0.08163,1.379,0.001
560,39.45,30.7,0.0,0.01518,0.08382,1.375,0.001
580,31.75,24.94,0.0,0.01047,0.0734,1.376,0.001
600,38.6,32.26,0.0,0.009333,0.07089,1.369,0.001
620,30.98,24.6,0.0,0.01051,0.06473,1.365,0.001
640,33.04,27.32,0.0,0.00874,0.06202,1.359,0.001
660,30.46,25.18,0.0,0.008417,0.05501,1.357,0.001
680,30.62,25.55,0.0,0.008347,0.05141,1.352,0.001
700,33.51,28.76,0.0,0.007657,0.04901,1.346,0.001
720,30.69,26.61,0.0,0.00563,0.04774,1.336,0.001
740,28.73,24.73,0.0,0.006045,0.04368,1.336,0.001
760,26.95,23.1,0.0,0.005823,0.04198,1.333,0.001
780,27.49,23.86,0.0,0.005186,0.04159,1.322,0.001
800,23.84,20.4,0.0,0.004685,0.04063,1.316,0.001
820,31.02,27.2,0.0,0.005486,0.04363,1.308,0.001
840,24.61,20.84,0.0,0.005332,0.04331,1.297,0.001
860,25.79,22.37,0.0,0.004941,0.03866,1.293,0.001
880,28.91,25.84,0.0,0.004111,0.03676,1.286,0.001
900,22.96,19.64,0.0,0.004378,0.04015,1.271,0.001
920,26.38,22.35,0.0,0.00581,0.04579,1.265,0.001
940,22.64,19.04,0.0,0.004493,0.04492,1.258,0.001
960,23.17,19.82,0.0,0.004679,0.03898,1.257,0.001
980,22.12,19.24,0.0,0.003722,0.03511,1.256,0.001
1000,23.71,20.76,0.0,0.003318,0.0392,1.245,0.001
1020,23.56,20.71,0.0,0.00327,0.03748,1.244,0.001
1040,24.5,21.61,0.0,0.004001,0.03378,1.24,0.001
1060,26.47,23.68,0.0,0.003393,0.03561,1.234,0.001
1080,24.24,21.19,0.0,0.004133,0.03609,1.231,0.001
1100,20.73,17.71,0.0,0.003981,0.03643,1.223,0.001
1120,22.04,19.42,0.0,0.003061,0.03404,1.221,0.001
1140,21.96,19.16,0.0,0.003178,0.03693,1.21,0.001
1160,18.24,15.8,0.0,0.002496,0.03384,1.209,0.001
1180,21.17,18.36,0.0,0.002975,0.03844,1.199,0.001
1200,20.01,17.17,0.0,0.002536,0.04161,1.183,0.001
1220,23.56,21.29,0.0,0.002264,0.03191,1.193,0.001
1240,20.4,17.82,0.0,0.002893,0.03439,1.182,0.001
1260,20.27,17.76,0.0,0.00268,0.03402,1.18,0.001
1280,17.99,15.61,0.0,0.002159,0.03463,1.172,0.001
1300,22.54,19.85,0.0,0.002523,0.03867,1.16,0.001
1320,20.81,17.97,0.0,0.002888,0.03942,1.15,0.001
1340,20.32,17.82,0.0,0.002776,0.03323,1.144,0.001
1360,19.41,16.98,0.0,0.002418,0.0341,1.142,0.001
1380,17.75,15.22,0.0,0.002338,0.03654,1.134,0.001
1400,15.91,13.5,0.0,0.001727,0.038,1.125,0.001
1420,19.15,16.72,0.0,0.002366,0.03445,1.12,0.001
1440,18.69,16.17,0.0,0.002317,0.03657,1.103,0.001
1460,16.34,13.88,0.0,0.001913,0.03771,1.101,0.001
1480,16.09,13.64,0.0,0.002053,0.03679,1.093,0.001
1500,18.08,15.55,0.0,0.002676,0.03463,1.092,0.001
