it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,346.0,0.0424,0.0,0.9866,0.9994,1.012,0.001
20,248.5,48.25,0.0,0.7316,0.5161,1.29,0.001
40,49.64,286.3,0.0,0.0296,0.05159,1.736,0.001
60,69.44,240.4,0.0,0.05046,0.1242,1.618,0.001
80,81.36,249.3,0.0,0.03377,0.0948,1.65,0.001
100,92.68,204.5,0.0,0.05648,0.1517,1.602,0.001
120,95.34,170.5,0.0,0.07445,0.09636,1.667,0.001
140,91.97,134.6,0.0,0.07932,0.1076,1.713,0.001
160,90.51,120.6,0.0,0.07115,0.09678,1.686,0.001
180,68.0,87.55,0.0,0.04125,0.06191,1.637,0.001
200,66.05,83.84,0.0,0.02029,0.08141,1.545,0.001
220,62.6,71.72,0.0,0.01908,0.08549,1.521,0.001
240,58.66,60.57,0.0,0.01575,0.1096,1.484,0.001
260,60.4,55.79,0.0,0.01698,0.1391,1.448,0.001
280,47.96,38.8,0.0,0.01422,0.1496,1.42,0.001
300,49.7,39.24,0.0,0.01344,0.1287,1.41,0.001
320,50.05,40.01,0.0,0.0134,0.1204,1.396,0.001
340,41.91,33.5,0.0,0.01153,0.09898,1.398,0.001
360,38.67,31.64,0.0,0.01055,0.07725,1.392,0.001
380,33.25,27.29,0.0,0.008132,0.07033,1.384,0.001
400,32.1,27.28,0.0,0.006682,0.0562,1.37,0.001
420,27.34,22.31,0.0,0.007163,0.05767,1.343,0.001
440,33.71,29.39,0.0,0.006076,0.0499,1.334,0.001
460,25.92,21.87,0.0,0.00572,0.04669,1.318,0.001
480,24.7,20.57,0.0,0.005832,0.0476,1.312,0.001
500,26.59,22.45,0.0,0.007141,0.04,1.309,0.001
520,23.65,20.4,0.0,0.004431,0.0384,1.294,0.001
540,22.78,19.2,0.0,0.005282,0.03996,1.282,0.001
560,25.41,22.21,0.0,0.004545,0.03681,1.271,0.001
580,26.52,23.31,0.0,0.004363,0.03796,1.262,0.001
600,22.73,20.32,0.0,0.002753,0.03166,1.254,0.001
620,23.97,21.44,0.0,0.002681,0.03455,1.242,0.001
640,24.19,21.79,0.0,0.002769,0.03134,1.236,0.001
660,19.99,17.65,0.0,0.002971,0.02905,1.227,0.001
680,23.65,21.18,0.0,0.002919,0.0319,1.218,0.001
700,19.14,16.97,0.0,0.002267,0.02976,1.203,0.001
720,19.58,17.21,0.0,0.002873,0.03031,1.193,0.001
740,19.97,17.77,0.0,0.002168,0.03094,1.178,0.001
760,20.69,18.04,0.0,0.003266,0.03339,1.156,0.001
780,18.12,15.65,0.0,0.002325,0.03543,1.14,0.001
800,16.17,13.86,0.0,0.002401,0.03179,1.121,0.001
820,17.77,15.65,0.0,0.001849,0.03128,1.12,0.001
840,17.24,14.88,0.0,0.003045,0.0288,1.094,0.001
860,16.12,13.5,0.0,0.002421,0.0379,1.071,0.001
880,15.27,12.91,0.0,0.002051,0.03477,1.058,0.001
900,14.82,12.51,0.0,0.001693,0.03618,1.065,0.001
920,17.49,14.97,0.0,0.00236,0.03631,1.012,0.001
940,17.79,15.68,0.0,0.00214,0.02926,1.032,0.001
960,15.11,13.26,0.0,0.002093,0.02459,1.015,0.001
980,14.83,12.93,0.0,0.0009725,0.03209,0.9842,0.001
1000,13.96,11.49,0.0,0.001887,0.038,0.9624,0.001
1020,15.38,13.52,0.0,0.001198,0.02992,0.9634,0.001
1040,15.23,13.22,0.0,0.001709,0.02983,0.9349,0.001
1060,13.53,11.54,0.0,0.001468,0.03095,0.9183,0.001
1080,11.98,10.04,0.0,0.001166,0.03177,0.8965,0.001
1100,11.48,9.932,0.0,0.00104,0.02465,0.8615,0.001
1120,11.93,10.19,0.0,0.001784,0.024,0.8569,0.001
1140,13.2,11.49,0.0,0.001206,0.02701,0.8159,0.001
1160,10.85,8.991,0.0,0.001138,0.03043,0.8031,0.001
1180,9.383,7.798,0.0,0.001172,0.02466,0.7556,0.001
1200,9.956,8.371,0.0,0.001036,0.02549,0.7698,0.001
1220,9.782,7.947,0.0,0.001411,0.02823,0.7298,0.001
1240,8.573,7.097,0.0,0.0005257,0.02636,0.7106,0.001
1260,8.382,6.682,0.0,0.0007352,0.0296,0.6797,0.001
1280,8.062,6.827,0.0,0.001313,0.01682,0.6164,0.001
1300,8.486,7.397,0.0,0.0008104,0.0169,0.6073,0.001
1320,7.135,5.524,0.0,0.0008888,0.02688,0.6057,0.001
1340,6.89,5.74,0.0,0.0003268,0.02105,0.5714,0.001
1360,5.764,4.699,0.0,0.0005788,0.01782,0.5331,0.001
1380,6.024,5.305,0.0,0.0005298,0.01121,0.5251,0.001
1400,5.314,4.715,0.0,0.0003919,0.009636,0.4824,0.001
1420,5.346,4.677,0.0,0.0002886,0.01164,0.4916,0.001
1440,5.913,5.37,0.0,0.0002725,0.009222,0.4748,0.001
1460,4.792,4.149,0.0,0.0003513,0.01076,0.446,0.001
1480,4.101,3.754,0.0,0.0001525,0.006032,0.4201,0.001
1500,3.825,3.335,0.0,0.0006073,0.006162,0.4533,0.001
