it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,347.3,0.01338,0.0,0.991,0.9998,1.01,0.001
20,249.3,42.59,0.0,0.7254,0.5758,1.256,0.001
40,55.07,273.4,0.0,0.04313,0.1135,1.672,0.001
60,70.84,258.0,0.0,0.0426,0.1294,1.609,0.001
80,82.28,249.4,0.0,0.03556,0.1019,1.641,0.001
100,80.86,173.7,0.0,0.05956,0.1019,1.643,0.001
120,78.45,137.6,0.0,0.06398,0.08445,1.703,0.001
140,66.37,111.6,0.0,0.038,0.05784,1.678,0.001
160,61.02,99.89,0.0,0.01833,0.04492,1.606,0.001
180,58.66,83.74,0.0,0.01751,0.06325,1.544,0.001
200,56.71,73.4,0.0,0.01237,0.0812,1.514,0.001
220,54.71,60.91,0.0,0.01535,0.1087,1.479,0.001
240,50.65,48.51,0.0,0.01774,0.1304,1.443,0.001
260,50.02,44.82,0.0,0.01421,0.1382,1.434,0.001
280,49.44,41.22,0.0,0.01558,0.1259,1.415,0.001
300,48.39,39.58,0.0,0.01105,0.1098,1.407,0.001
320,40.72,33.22,0.0,0.0102,0.08881,1.397,0.001
340,34.69,27.22,0.0,0.01025,0.08801,1.377,0.001
360,32.14,26.04,0.0,0.009195,0.06691,1.366,0.001
380,29.01,23.87,0.0,0.008126,0.05406,1.355,0.001
400,30.39,26.34,0.0,0.005978,0.04511,1.351,0.001
420,28.53,24.43,0.0,0.006118,0.04534,1.327,0.001
440,26.01,21.92,0.0,0.005888,0.04641,1.314,0.001
460,27.27,23.36,0.0,0.005501,0.04501,1.296,0.001
480,23.08,19.75,0.0,0.00475,0.03811,1.303,0.001
500,22.5,18.65,0.0,0.006132,0.04029,1.285,0.001
520,26.98,23.98,0.0,0.003896,0.03669,1.278,0.001
540,23.68,21.14,0.0,0.003419,0.03039,1.27,0.001
560,23.81,20.99,0.0,0.003968,0.03252,1.263,0.001
580,22.5,19.68,0.0,0.003228,0.03698,1.256,0.001
600,23.8,20.63,0.0,0.00391,0.04005,1.23,0.001
620,23.3,20.29,0.0,0.003711,0.03789,1.218,0.001
640,23.78,20.73,0.0,0.003738,0.03845,1.212,0.001
660,18.99,16.66,0.0,0.002129,0.03363,1.209,0.001
680,20.37,17.53,0.0,0.002986,0.03886,1.192,0.001
700,21.55,19.27,0.0,0.002173,0.0326,1.194,0.001
720,17.87,15.43,0.0,0.002667,0.03278,1.167,0.001
740,20.77,17.94,0.0,0.002671,0.04064,1.164,0.001
760,21.66,19.21,0.0,0.002111,0.03651,1.14,0.001
780,16.87,14.18,0.0,0.003099,0.03515,1.117,0.001
800,21.89,19.49,0.0,0.001991,0.03615,1.109,0.001
820,18.14,16.2,0.0,0.001528,0.02952,1.101,0.001
840,16.64,14.56,0.0,0.001681,0.03161,1.078,0.001
860,13.93,11.54,0.0,0.001715,0.03739,1.072,0.001
880,14.52,12.08,0.0,0.002067,0.03639,1.042,0.001
900,15.18,12.43,0.0,0.001933,0.04347,1.011,0.001
920,15.59,13.19,0.0,0.001478,0.03923,0.999,0.001
940,15.75,13.3,0.0,0.001915,0.03745,0.9674,0.001
960,11.79,9.782,0.0,0.001871,0.02889,0.9581,0.001
980,15.05,12.44,0.0,0.001196,0.04505,0.947,0.001
1000,12.76,10.57,0.0,0.001434,0.03517,0.9281,0.001
1020,11.61,9.502,0.0,0.001281,0.03454,0.9054,0.001
1040,14.86,12.76,0.0,0.001475,0.03321,0.8641,0.001
1060,13.12,10.98,0.0,0.001478,0.03385,0.8531,0.001
1080,10.72,8.494,0.0,0.001584,0.03499,0.8374,0.001
1100,10.39,9.104,0.0,0.00107,0.01925,0.7996,0.001
1120,11.38,9.419,0.0,0.001419,0.03076,0.7761,0.001
1140,10.64,9.01,0.0,0.001562,0.0233,0.7604,0.001
1160,9.714,8.53,0.0,0.0008604,0.01852,0.7545,0.001
1180,9.873,8.306,0.0,0.001016,0.02525,0.7309,0.001
1200,9.581,8.319,0.0,0.0005224,0.0221,0.7063,0.001
1220,8.209,6.984,0.0,0.001038,0.01827,0.6665,0.001
1240,7.771,6.573,0.0,0.0008176,0.01906,0.6596,0.001
1260,7.409,6.274,0.0,0.0007508,0.0182,0.6141,0.001
1280,7.017,5.912,0.0,0.0007736,0.01746,0.5707,0.001
1300,5.293,4.591,0.0,0.0007918,0.009282,0.5478,0.001
1320,6.372,5.699,0.0,0.0006493,0.009558,0.5102,0.001
1340,5.473,4.592,0.0,0.0007107,0.01336,0.4911,0.001
1360,5.024,4.289,0.0,0.0005513,0.0114,0.4918,0.001
1380,4.317,3.887,0.0,0.0003567,0.006456,0.4696,0.001
1400,4.442,3.909,0.0,0.0002034,0.009449,0.4525,0.001
1420,3.508,3.035,0.0,0.0003639,0.007285,0.3906,0.001
1440,3.867,3.275,0.0,0.0007768,0.007176,0.3975,0.001
1460,3.987,3.417,0.0,0.0005606,0.008051,0.4041,0.001
1480,3.194,2.832,0.0,0.0004779,0.004376,0.3701,0.001
1500,3.225,2.923,0.0,0.0003679,0.003821,0.3736,0.001
