it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,1021.0,3.283,0.0,1.276,0.5781,1.094,0.001
2,974.4,2.898,0.0,1.218,0.633,1.094,0.001
3,936.5,2.441,0.0,1.171,0.6848,1.094,0.001
4,905.1,1.935,0.0,1.131,0.7332,1.094,0.001
5,877.9,1.584,0.0,1.097,0.7782,1.094,0.001
6,853.2,1.34,0.0,1.067,0.8194,1.094,0.001
7,830.7,0.9807,0.0,1.038,0.8565,1.094,0.001
8,810.6,0.7767,0.0,1.013,0.8891,1.094,0.001
9,793.1,0.6208,0.0,0.9913,0.9169,1.094,0.001
10,778.5,0.493,0.0,0.9731,0.9397,1.041,0.001
11,766.7,0.4642,0.0,0.9584,0.9576,1.041,0.001
12,757.6,0.3606,0.0,0.947,0.9712,1.041,0.001
13,750.5,0.3728,0.0,0.9382,0.981,1.041,0.001
14,744.9,0.3616,0.0,0.9311,0.9876,1.041,0.001
15,740.2,0.3845,0.0,0.9253,0.9918,1.041,0.001
16,736.1,0.4326,0.0,0.9201,0.9941,1.041,0.001
17,732.4,0.4582,0.0,0.9155,0.995,1.041,0.001
18,728.9,0.5184,0.0,0.9111,0.9947,1.041,0.001
19,725.6,0.5836,0.0,0.907,0.9937,1.041,0.001
20,722.3,0.7116,0.0,0.9028,0.9921,1.054,0.001
21,718.8,0.7509,0.0,0.8985,0.9901,1.054,0.001
22,715.0,0.9452,0.0,0.8937,0.9878,1.054,0.001
23,710.7,1.028,0.0,0.8884,0.9853,1.054,0.001
24,705.9,1.197,0.0,0.8824,0.9827,1.054,0.001
25,700.5,1.317,0.0,0.8756,0.9801,1.054,0.001
26,694.5,1.451,0.0,0.8681,0.9775,1.054,0.001
27,688.0,1.786,0.0,0.86,0.9748,1.054,0.001
28,681.0,1.974,0.0,0.8512,0.972,1.054,0.001
29,673.5,2.151,0.0,0.8419,0.9692,1.054,0.001
30,665.6,2.416,0.0,0.832,0.9665,1.103,0.001
31,657.3,2.713,0.0,0.8216,0.9637,1.103,0.001
32,648.4,3.066,0.0,0.8105,0.9608,1.103,0.001
33,639.2,3.297,0.0,0.799,0.958,1.103,0.001
34,629.5,3.756,0.0,0.7869,0.9551,1.103,0.001
35,619.4,4.215,0.0,0.7743,0.9521,1.103,0.001
36,609.0,4.648,0.0,0.7612,0.9489,1.103,0.001
37,598.2,5.041,0.0,0.7478,0.9454,1.103,0.001
38,587.1,5.338,0.0,0.7339,0.9417,1.103,0.001
39,575.7,5.882,0.0,0.7196,0.9375,1.103,0.001
40,563.9,6.767,0.0,0.7049,0.933,1.176,0.001
41,551.8,7.312,0.0,0.6898,0.9279,1.176,0.001
42,539.4,8.16,0.0,0.6743,0.9224,1.176,0.001
43,526.7,8.646,0.0,0.6583,0.9163,1.176,0.001
44,513.6,9.589,0.0,0.6421,0.9095,1.176,0.001
45,500.3,10.7,0.0,0.6254,0.9021,1.176,0.001
46,486.8,11.8,0.0,0.6085,0.8939,1.176,0.001
47,472.9,12.4,0.0,0.5912,0.885,1.176,0.001
48,458.9,13.64,0.0,0.5736,0.8753,1.176,0.001
49,444.5,14.98,0.0,0.5557,0.8648,1.176,0.001
50,430.0,16.24,0.0,0.5375,0.8533,1.283,0.001
51,415.2,17.87,0.0,0.519,0.8409,1.283,0.001
52,400.2,20.06,0.0,0.5003,0.8275,1.283,0.001
53,385.1,22.52,0.0,0.4814,0.8131,1.283,0.001
54,369.9,23.22,0.0,0.4623,0.7976,1.283,0.001
55,354.5,24.85,0.0,0.4431,0.7811,1.283,0.001
56,339.0,28.04,0.0,0.4238,0.7634,1.283,0.001
57,323.5,29.72,0.0,0.4044,0.7447,1.283,0.001
58,308.0,33.18,0.0,0.385,0.7248,1.283,0.001
59,292.5,36.31,0.0,0.3656,0.7038,1.283,0.001
60,277.0,39.36,0.0,0.3463,0.6818,1.431,0.001
61,261.6,41.54,0.0,0.327,0.6587,1.431,0.001
62,246.4,45.65,0.0,0.308,0.6346,1.431,0.001
63,231.3,47.66,0.0,0.2891,0.6095,1.431,0.001
64,216.4,53.63,0.0,0.2705,0.5835,1.431,0.001
65,201.8,60.47,0.0,0.2522,0.5567,1.431,0.001
66,187.5,60.68,0.0,0.2343,0.5291,1.431,0.001
67,173.5,68.02,0.0,0.2168,0.5008,1.431,0.001
68,159.9,67.67,0.0,0.1998,0.472,1.431,0.001
69,146.7,77.9,0.0,0.1834,0.4428,1.431,0.001
70,134.0,82.18,0.0,0.1675,0.4132,1.615,0.001
71,121.8,93.79,0.0,0.1523,0.3835,1.615,0.001
72,110.2,92.04,0.0,0.1377,0.3537,1.615,0.001
73,99.09,99.16,0.0,0.1239,0.3242,1.615,0.001
74,88.62,109.3,0.0,0.1108,0.295,1.615,0.001
75,78.78,113.9,0.0,0.09848,0.2664,1.615,0.001
76,69.6,126.4,0.0,0.087,0.2386,1.615,0.001
77,61.08,124.9,0.0,0.07635,0.2117,1.615,0.001
78,53.24,137.6,0.0,0.06656,0.186,1.615,0.001
79,46.09,141.9,0.0,0.05761,0.1616,1.615,0.001
80,39.61,152.5,0.0,0.04952,0.1387,1.809,0.001
81,33.81,162.0,0.0,0.04227,0.1174,1.809,0.001
82,28.67,174.1,0.0,0.03584,0.09789,1.809,0.001
83,24.17,182.6,0.0,0.03022,0.08021,1.809,0.001
84,20.29,189.5,0.0,0.02536,0.06442,1.809,0.001
85,16.98,183.8,0.0,0.02123,0.05055,1.809,0.001
86,14.22,204.4,0.0,0.01778,0.03859,1.809,0.001
87,11.97,213.9,0.0,0.01496,0.02848,1.809,0.001
88,10.17,223.8,0.0,0.01271,0.02015,1.809,0.001
89,8.785,215.0,0.0,0.01098,0.0135,1.809,0.001
90,7.761,236.6,0.0,0.009701,0.008377,1.963,0.001
91,7.049,249.0,0.0,0.008811,0.004645,1.963,0.001
92,6.6,251.1,0.0,0.00825,0.002131,1.963,0.001
93,6.365,245.8,0.0,0.007957,0.0006592,1.963,0.001
94,6.301,266.9,0.0,0.007876,4.571e-05,1.963,0.001
95,6.365,270.7,0.0,0.007956,0.0001103,1.963,0.001
96,6.517,274.9,0.0,0.008147,0.0006791,1.963,0.001
97,6.725,283.7,0.0,0.008407,0.00159,1.963,0.001
98,6.958,274.3,0.0,0.008698,0.002698,1.963,0.001
99,7.192,305.1,0.0,0.00899,0.003876,1.963,0.001
100,7.407,277.2,0.0,0.009259,0.00502,2.036,0.001
101,7.588,316.6,0.0,0.009485,0.006051,2.036,0.001
102,7.724,310.2,0.0,0.009655,0.006908,2.036,0.001
103,7.81,286.2,0.0,0.009763,0.007555,2.036,0.001
104,7.844,321.4,0.0,0.009805,0.007975,2.036,0.001
105,7.825,285.4,0.0,0.009781,0.008165,2.036,0.001
106,7.756,304.6,0.0,0.009695,0.008136,2.036,0.001
107,7.642,295.9,0.0,0.009553,0.007911,2.036,0.001
108,7.49,302.9,0.0,0.009362,0.007516,2.036,0.001
109,7.305,295.2,0.0,0.009132,0.006986,2.036,0.001
110,7.096,282.7,0.0,0.00887,0.006352,2.035,0.001
111,6.869,292.0,0.0,0.008587,0.005651,2.035,0.001
112,6.632,288.0,0.0,0.008291,0.004915,2.035,0.001
113,6.392,283.8,0.0,0.00799,0.004173,2.035,0.001
114,6.153,282.9,0.0,0.007692,0.003451,2.035,0.001
115,5.922,285.6,0.0,0.007402,0.002772,2.035,0.001
116,5.701,288.6,0.0,0.007126,0.002153,2.035,0.001
117,5.494,284.7,0.0,0.006868,0.001607,2.035,0.001
118,5.304,266.7,0.0,0.00663,0.00114,2.035,0.001
