it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,2.049,16.65,0.0,0.001865,0.000158,0.03974,0.001
2,2.35,15.74,0.0,0.001625,6.841e-07,0.03974,0.001
3,3.098,15.13,0.0,0.001978,0.0001923,0.03974,0.001
4,3.947,15.84,0.0,0.002286,0.0007168,0.03974,0.001
5,3.444,13.54,0.0,0.001482,0.0001737,0.03974,0.001
6,5.351,18.64,0.0,0.002029,5.092e-08,0.03974,0.001
7,4.771,15.66,0.0,0.001396,1.581e-06,0.03974,0.001
8,5.182,15.56,0.0,0.00129,7.233e-05,0.03974,0.001
9,5.794,14.99,0.0,0.001617,0.0002606,0.03974,0.001
10,6.045,14.87,0.0,0.001356,0.0004179,0.03455,0.001
11,7.37,17.38,0.0,0.00124,0.0004574,0.03455,0.001
12,6.992,14.49,0.0,0.00149,0.0004859,0.03455,0.001
13,6.607,12.74,0.0,0.001352,0.0006027,0.03455,0.001
14,6.377,11.62,0.0,0.001184,0.0007441,0.03455,0.001
15,7.532,13.04,0.0,0.001258,0.0007589,0.03455,0.001
16,8.41,14.04,0.0,0.001146,0.0006099,0.03455,0.001
17,7.863,12.53,0.0,0.0009449,0.0004196,0.03455,0.001
18,8.789,13.36,0.0,0.0009647,0.0002803,0.03455,0.001
19,10.26,14.87,0.0,0.001043,0.000265,0.03455,0.001
20,10.36,14.44,0.0,0.0009019,0.0004205,0.02962,0.001
21,8.961,11.77,0.0,0.0008954,0.0007521,0.02962,0.001
22,7.856,9.562,0.0,0.001043,0.001033,0.02962,0.001
23,10.68,12.86,0.0,0.001009,0.001099,0.02962,0.001
24,10.41,12.1,0.0,0.0009012,0.0009932,0.02962,0.001
25,12.77,14.47,0.0,0.0008851,0.0008999,0.02962,0.001
26,10.34,11.14,0.0,0.0008478,0.0009188,0.02962,0.001
27,10.43,10.84,0.0,0.0008286,0.0009122,0.02962,0.001
28,13.98,14.21,0.0,0.0008881,0.0009204,0.02962,0.001
29,11.22,10.86,0.0,0.0008933,0.0008953,0.02962,0.001
30,12.88,12.23,0.0,0.000806,0.0008006,0.02699,0.001
31,13.65,13.05,0.0,0.0007468,0.000729,0.02699,0.001
32,11.91,11.29,0.0,0.0007606,0.0007533,0.02699,0.001
33,11.12,10.48,0.0,0.0007927,0.0008993,0.02699,0.001
34,14.06,13.38,0.0,0.0008319,0.0009708,0.02699,0.001
35,12.44,11.74,0.0,0.0008575,0.001013,0.02699,0.001
36,13.92,13.24,0.0,0.000833,0.000955,0.02699,0.001
37,14.8,14.2,0.0,0.0007396,0.0007686,0.02699,0.001
38,12.6,11.99,0.0,0.0007496,0.0005979,0.02699,0.001
39,13.47,12.91,0.0,0.0006944,0.0006419,0.02699,0.001
40,10.89,10.1,0.0,0.0009768,0.0008415,0.03446,0.001
41,12.85,11.88,0.0,0.001204,0.0008906,0.03446,0.001
42,9.777,9.15,0.0,0.0007757,0.0006701,0.03446,0.001
43,10.7,10.16,0.0,0.000679,0.0003956,0.03446,0.001
44,12.87,12.32,0.0,0.0006847,0.0003684,0.03446,0.001
45,13.9,13.38,0.0,0.0006478,0.0005348,0.03446,0.001
46,13.32,12.58,0.0,0.0009128,0.0008265,0.03446,0.001
47,10.53,9.713,0.0,0.001005,0.0009757,0.03446,0.001
48,11.1,10.49,0.0,0.0007497,0.000823,0.03446,0.001
49,13.29,12.75,0.0,0.0006729,0.0006988,0.03446,0.001
50,12.79,12.27,0.0,0.0006472,0.0005907,0.02514,0.001
51,9.644,9.124,0.0,0.0006418,0.0006105,0.02514,0.001
52,11.76,11.14,0.0,0.0007584,0.000661,0.02514,0.001
53,10.86,10.17,0.0,0.0008477,0.0006507,0.02514,0.001
54,14.89,14.31,0.0,0.0007185,0.0005474,0.02514,0.001
55,11.57,11.09,0.0,0.0005905,0.000459,0.02514,0.001
56,11.59,11.09,0.0,0.000611,0.0004936,0.02514,0.001
57,11.25,10.71,0.0,0.0006648,0.0007101,0.02514,0.001
58,13.34,12.66,0.0,0.0008396,0.0008953,0.02514,0.001
59,10.17,9.471,0.0,0.0008563,0.0009344,0.02514,0.001
60,13.81,13.21,0.0,0.0007349,0.0007969,0.02465,0.001
61,9.446,8.947,0.0,0.0006153,0.0006222,0.02465,0.001
62,13.19,12.72,0.0,0.0005926,0.0004724,0.02465,0.001
