it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,980.1,1.05,0.0,1.225,0.8775,1.015,0.001
2,928.8,0.6581,0.0,1.161,0.9109,1.015,0.001
3,885.3,0.5105,0.0,1.107,0.9392,1.015,0.001
4,849.9,0.3233,0.0,1.062,0.9619,1.015,0.001
5,822.4,0.1742,0.0,1.028,0.9791,1.015,0.001
6,802.4,0.09715,0.0,1.003,0.9907,1.015,0.001
7,788.9,0.05398,0.0,0.9862,0.9972,1.015,0.001
8,780.8,0.05141,0.0,0.976,0.9995,1.015,0.001
9,776.5,0.07927,0.0,0.9706,0.9984,1.015,0.001
10,774.3,0.127,0.0,0.9679,0.9951,1.024,0.001
11,772.8,0.208,0.0,0.966,0.9906,1.024,0.001
12,770.7,0.292,0.0,0.9633,0.9858,1.024,0.001
13,767.3,0.3702,0.0,0.9592,0.9811,1.024,0.001
14,762.5,0.4708,0.0,0.9531,0.9769,1.024,0.001
15,756.3,0.656,0.0,0.9453,0.9733,1.024,0.001
16,749.0,0.686,0.0,0.9362,0.97,1.024,0.001
17,741.0,0.8579,0.0,0.9262,0.967,1.024,0.001
18,732.7,1.067,0.0,0.9159,0.9642,1.024,0.001
19,724.4,1.411,0.0,0.9055,0.9614,1.024,0.001
20,716.2,1.426,0.0,0.8953,0.9587,1.079,0.001
21,708.2,1.741,0.0,0.8852,0.956,1.079,0.001
22,700.1,1.969,0.0,0.8751,0.9536,1.079,0.001
23,691.7,2.297,0.0,0.8646,0.9515,1.079,0.001
24,682.9,2.529,0.0,0.8536,0.9497,1.079,0.001
25,673.4,2.787,0.0,0.8417,0.9483,1.079,0.001
26,663.1,3.305,0.0,0.8289,0.9472,1.079,0.001
27,652.1,3.524,0.0,0.8152,0.9462,1.079,0.001
28,640.4,4.042,0.0,0.8005,0.9452,1.079,0.001
29,628.0,4.601,0.0,0.7849,0.944,1.079,0.001
30,615.0,4.86,0.0,0.7687,0.9423,1.148,0.001
31,601.6,4.988,0.0,0.752,0.94,1.148,0.001
32,587.8,6.113,0.0,0.7347,0.9368,1.148,0.001
33,573.6,6.532,0.0,0.717,0.9327,1.148,0.001
34,559.2,7.132,0.0,0.699,0.9275,1.148,0.001
35,544.4,7.62,0.0,0.6805,0.9212,1.148,0.001
36,529.3,9.164,0.0,0.6616,0.9137,1.148,0.001
37,513.9,10.19,0.0,0.6423,0.905,1.148,0.001
38,498.1,11.15,0.0,0.6226,0.8951,1.148,0.001
39,481.9,12.25,0.0,0.6024,0.8841,1.148,0.001
40,465.4,14.06,0.0,0.5818,0.8718,1.262,0.001
41,448.6,15.99,0.0,0.5607,0.8585,1.262,0.001
42,431.4,17.8,0.0,0.5393,0.844,1.262,0.001
43,414.0,20.34,0.0,0.5176,0.8285,1.262,0.001
44,396.4,22.22,0.0,0.4955,0.8119,1.262,0.001
45,378.6,24.56,0.0,0.4733,0.7944,1.262,0.001
46,360.7,25.2,0.0,0.4509,0.7759,1.262,0.001
47,342.7,29.44,0.0,0.4284,0.7565,1.262,0.001
48,324.7,32.15,0.0,0.4059,0.7361,1.262,0.001
49,306.8,34.57,0.0,0.3835,0.7146,1.262,0.001
50,289.0,39.66,0.0,0.3612,0.6921,1.424,0.001
51,271.4,43.25,0.0,0.3392,0.6684,1.424,0.001
52,254.1,47.0,0.0,0.3176,0.6436,1.424,0.001
53,237.0,51.87,0.0,0.2963,0.6175,1.424,0.001
54,220.4,54.7,0.0,0.2755,0.5903,1.424,0.001
55,204.2,61.52,0.0,0.2552,0.562,1.424,0.001
56,188.4,65.15,0.0,0.2355,0.5326,1.424,0.001
57,173.2,71.12,0.0,0.2165,0.5024,1.424,0.001
58,158.5,73.08,0.0,0.1981,0.4714,1.424,0.001
59,144.4,75.41,0.0,0.1805,0.4399,1.424,0.001
60,130.9,93.56,0.0,0.1637,0.4081,1.62,0.001
61,118.2,92.88,0.0,0.1477,0.3763,1.62,0.001
62,106.1,105.5,0.0,0.1327,0.3446,1.62,0.001
63,94.85,113.4,0.0,0.1186,0.3135,1.62,0.001
64,84.33,125.3,0.0,0.1054,0.2831,1.62,0.001
65,74.57,136.6,0.0,0.09322,0.2538,1.62,0.001
66,65.58,135.8,0.0,0.08198,0.2257,1.62,0.001
67,57.34,157.4,0.0,0.07168,0.199,1.62,0.001
68,49.86,165.7,0.0,0.06233,0.1738,1.62,0.001
69,43.12,176.2,0.0,0.0539,0.1504,1.62,0.001
70,37.11,180.4,0.0,0.04639,0.1286,1.817,0.001
71,31.81,200.5,0.0,0.03976,0.1086,1.817,0.001
72,27.18,203.5,0.0,0.03398,0.09046,1.817,0.001
73,23.2,222.0,0.0,0.029,0.0741,1.817,0.001
74,19.81,223.6,0.0,0.02477,0.05957,1.817,0.001
75,16.99,238.5,0.0,0.02124,0.04685,1.817,0.001
76,14.68,245.7,0.0,0.01836,0.03593,1.817,0.001
77,12.85,256.0,0.0,0.01607,0.02675,1.817,0.001
78,11.44,270.9,0.0,0.0143,0.01922,1.817,0.001
79,10.4,279.6,0.0,0.013,0.01323,1.817,0.001
80,9.67,284.8,0.0,0.01209,0.008615,1.961,0.001
81,9.197,292.3,0.0,0.0115,0.005207,1.961,0.001
82,8.936,295.6,0.0,0.01117,0.002817,1.961,0.001
83,8.842,303.8,0.0,0.01105,0.001264,1.961,0.001
84,8.874,317.6,0.0,0.01109,0.0003833,1.961,0.001
85,8.99,323.3,0.0,0.01124,2.587e-05,1.961,0.001
86,9.155,330.1,0.0,0.01144,6.325e-05,1.961,0.001
87,9.341,351.3,0.0,0.01168,0.0003824,1.961,0.001
88,9.523,357.8,0.0,0.0119,0.0008825,1.961,0.001
89,9.685,361.1,0.0,0.01211,0.001473,1.961,0.001
90,9.814,340.6,0.0,0.01227,0.002075,2.023,0.001
91,9.899,340.1,0.0,0.01237,0.002622,2.023,0.001
92,9.933,360.5,0.0,0.01242,0.003066,2.023,0.001
93,9.915,360.0,0.0,0.01239,0.003378,2.023,0.001
94,9.845,351.8,0.0,0.01231,0.00355,2.023,0.001
95,9.727,326.7,0.0,0.01216,0.003588,2.023,0.001
96,9.568,347.7,0.0,0.01196,0.003506,2.023,0.001
97,9.371,351.3,0.0,0.01171,0.003327,2.023,0.001
98,9.144,349.3,0.0,0.01143,0.003071,2.023,0.001
99,8.892,351.6,0.0,0.01112,0.002758,2.023,0.001
100,8.623,355.9,0.0,0.01078,0.002405,2.02,0.001
101,8.345,350.4,0.0,0.01043,0.002029,2.02,0.001
102,8.062,325.8,0.0,0.01008,0.001646,2.02,0.001
103,7.781,345.5,0.0,0.009726,0.001273,2.02,0.001
104,7.504,338.6,0.0,0.00938,0.0009261,2.02,0.001
105,7.237,336.4,0.0,0.009047,0.0006217,2.02,0.001
106,6.984,325.9,0.0,0.00873,0.0003721,2.02,0.001
107,6.746,327.7,0.0,0.008432,0.0001852,2.02,0.001
108,6.525,304.5,0.0,0.008156,6.377e-05,2.02,0.001
109,6.322,291.8,0.0,0.007903,6.24e-06,2.02,0.001
110,6.138,300.5,0.0,0.007673,7.855e-06,1.994,0.001
111,5.973,316.9,0.0,0.007466,6.227e-05,1.994,0.001
112,5.825,314.2,0.0,0.007281,0.0001627,1.994,0.001
113,5.694,297.6,0.0,0.007117,0.0003025,1.994,0.001
114,5.578,301.4,0.0,0.006972,0.0004751,1.994,0.001
115,5.475,302.6,0.0,0.006844,0.0006736,1.994,0.001
116,5.384,310.5,0.0,0.00673,0.00089,1.994,0.001
117,5.302,275.1,0.0,0.006628,0.001116,1.994,0.001
118,5.228,286.1,0.0,0.006535,0.001342,1.994,0.001
119,5.16,287.1,0.0,0.006451,0.001559,1.994,0.001
120,5.097,278.2,0.0,0.006371,0.00176,1.976,0.001
121,5.037,281.5,0.0,0.006296,0.00194,1.976,0.001
122,4.978,280.2,0.0,0.006223,0.002096,1.976,0.001
123,4.921,287.9,0.0,0.006152,0.002226,1.976,0.001
124,4.864,268.6,0.0,0.006081,0.002331,1.976,0.001
125,4.807,269.8,0.0,0.006009,0.002411,1.976,0.001
126,4.75,268.2,0.0,0.005937,0.002466,1.976,0.001
127,4.691,270.2,0.0,0.005864,0.002497,1.976,0.001
128,4.631,287.0,0.0,0.005789,0.002504,1.976,0.001
129,4.571,267.3,0.0,0.005714,0.002485,1.976,0.001
130,4.51,291.4,0.0,0.005637,0.002444,1.974,0.001
131,4.448,289.4,0.0,0.00556,0.002381,1.974,0.001
132,4.385,270.8,0.0,0.005482,0.002301,1.974,0.001
133,4.323,260.0,0.0,0.005404,0.002207,1.974,0.001
134,4.261,271.9,0.0,0.005326,0.002104,1.974,0.001
135,4.199,273.2,0.0,0.005248,0.001996,1.974,0.001
136,4.137,275.9,0.0,0.005172,0.001884,1.974,0.001
137,4.077,273.9,0.0,0.005096,0.001771,1.974,0.001
138,4.018,267.0,0.0,0.005022,0.001658,1.974,0.001
139,3.959,276.9,0.0,0.004949,0.001546,1.974,0.001
140,3.902,266.3,0.0,0.004878,0.001435,1.98,0.001
141,3.847,266.3,0.0,0.004809,0.001328,1.98,0.001
142,3.793,280.8,0.0,0.004741,0.001225,1.98,0.001
143,3.74,275.2,0.0,0.004675,0.001127,1.98,0.001
144,3.689,286.1,0.0,0.004611,0.001036,1.98,0.001
145,3.639,286.5,0.0,0.004549,0.0009527,1.98,0.001
146,3.591,285.4,0.0,0.004488,0.0008769,1.98,0.001
147,3.543,282.6,0.0,0.004429,0.0008084,1.98,0.001
148,3.497,275.5,0.0,0.004372,0.0007467,1.98,0.001
149,3.452,288.6,0.0,0.004315,0.0006911,1.98,0.001
150,3.408,272.4,0.0,0.00426,0.0006412,1.987,0.001
