it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,3.516,23.18,0.0,0.004207,0.0005966,0.05697,0.001
2,3.219,24.01,0.0,0.003647,0.0001095,0.05697,0.001
3,5.82,23.74,0.0,0.006717,0.0001223,0.05697,0.001
4,3.207,21.39,0.0,0.003339,0.0001007,0.05697,0.001
5,4.786,21.29,0.0,0.005145,0.000509,0.05697,0.001
6,4.655,19.73,0.0,0.004893,0.000134,0.05697,0.001
7,3.418,19.03,0.0,0.003231,8.336e-05,0.05697,0.001
8,3.605,18.7,0.0,0.003329,0.0007431,0.05697,0.001
9,4.675,22.91,0.0,0.004217,0.001242,0.05697,0.001
10,4.315,20.31,0.0,0.003793,0.00108,0.05117,0.001
11,3.725,20.83,0.0,0.00286,0.0005327,0.05117,0.001
12,3.714,19.74,0.0,0.00279,9.899e-05,0.05117,0.001
13,4.25,20.09,0.0,0.003271,1.162e-06,0.05117,0.001
14,4.567,23.26,0.0,0.003165,3.217e-05,0.05117,0.001
15,3.937,20.03,0.0,0.002573,1.357e-05,0.05117,0.001
16,3.676,18.12,0.0,0.00233,4.365e-06,0.05117,0.001
17,4.152,19.69,0.0,0.002575,7.11e-05,0.05117,0.001
18,4.245,18.95,0.0,0.002639,0.0001688,0.05117,0.001
19,4.003,18.25,0.0,0.002293,0.0002192,0.05117,0.001
20,3.294,13.33,0.0,0.002032,0.0002013,0.04477,0.001
21,4.174,18.74,0.0,0.00214,0.0001561,0.04477,0.001
22,3.993,15.92,0.0,0.002252,0.0001422,0.04477,0.001
23,4.093,16.99,0.0,0.002062,0.0001696,0.04477,0.001
24,3.845,16.09,0.0,0.001786,0.0002297,0.04477,0.001
25,4.035,16.9,0.0,0.00174,0.0002741,0.04477,0.001
26,4.287,17.45,0.0,0.001811,0.0002568,0.04477,0.001
27,4.252,17.07,0.0,0.001711,0.0001769,0.04477,0.001
28,4.296,17.65,0.0,0.001508,8.592e-05,0.04477,0.001
29,3.869,14.95,0.0,0.001448,3.067e-05,0.04477,0.001
30,4.09,15.42,0.0,0.001498,1.589e-05,0.03707,0.001
31,4.497,17.23,0.0,0.001448,3.031e-05,0.03707,0.001
32,3.822,13.9,0.0,0.001301,9.424e-05,0.03707,0.001
33,3.732,13.29,0.0,0.001235,0.0002073,0.03707,0.001
34,4.185,14.92,0.0,0.001265,0.0003098,0.03707,0.001
35,4.048,14.0,0.0,0.001229,0.0003342,0.03707,0.001
36,4.309,15.16,0.0,0.001119,0.000272,0.03707,0.001
37,4.349,15.14,0.0,0.001058,0.0001869,0.03707,0.001
38,4.235,14.31,0.0,0.001044,0.0001282,0.03707,0.001
39,4.153,13.75,0.0,0.0009996,0.0001046,0.03707,0.001
40,4.591,15.4,0.0,0.0009246,0.0001098,0.0294,0.001
41,4.287,13.96,0.0,0.0008854,0.0001283,0.0294,0.001
42,4.315,13.77,0.0,0.000872,0.0001434,0.0294,0.001
43,3.591,10.86,0.0,0.0008389,0.0001436,0.0294,0.001
44,3.534,10.53,0.0,0.0007968,0.0001328,0.0294,0.001
45,4.054,12.22,0.0,0.000768,0.000128,0.0294,0.001
46,3.791,11.09,0.0,0.0007519,0.0001309,0.0294,0.001
47,3.733,10.73,0.0,0.0007255,0.0001409,0.0294,0.001
48,3.954,11.32,0.0,0.0006957,0.0001512,0.0294,0.001
49,4.623,13.32,0.0,0.0006782,0.0001538,0.0294,0.001
50,4.036,11.22,0.0,0.0006606,0.0001457,0.02494,0.001
51,3.995,10.93,0.0,0.0006369,0.0001343,0.02494,0.001
52,3.946,10.62,0.0,0.000617,0.0001249,0.02494,0.001
53,4.457,12.0,0.0,0.0006013,0.0001344,0.02494,0.001
54,5.378,14.52,0.0,0.0005942,0.0001552,0.02494,0.001
55,4.847,12.73,0.0,0.0005852,0.0001788,0.02494,0.001
56,4.811,12.44,0.0,0.0005669,0.0001802,0.02494,0.001
57,4.595,11.63,0.0,0.0005616,0.0001612,0.02494,0.001
