it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,887.2,0.473,0.0,1.109,0.9454,1.022,0.001
5,759.1,0.184,0.0,0.9489,0.9966,1.032,0.001
10,742.9,0.8018,0.0,0.9286,0.9743,1.061,0.001
15,701.6,1.678,0.0,0.8769,0.9634,1.086,0.001
20,656.1,2.464,0.0,0.8199,0.9572,1.111,0.001
25,619.4,4.434,0.0,0.7738,0.9449,1.139,0.001
30,574.9,6.327,0.0,0.7179,0.9318,1.169,0.001
35,526.9,8.608,0.0,0.6574,0.9146,1.203,0.001
40,477.8,12.6,0.0,0.5951,0.888,1.241,0.001
45,424.8,16.55,0.0,0.5279,0.849,1.286,0.001
50,370.6,23.73,0.0,0.4583,0.7955,1.336,0.001
55,317.2,33.62,0.0,0.3888,0.729,1.39,0.001
60,266.4,45.31,0.0,0.3217,0.6535,1.447,0.001
65,221.8,63.85,0.0,0.26,0.5715,1.504,0.001
70,184.7,87.31,0.0,0.2055,0.4843,1.561,0.001
75,155.5,111.9,0.0,0.1594,0.3975,1.616,0.001
80,133.4,133.5,0.0,0.1222,0.3181,1.668,0.001
85,119.8,158.9,0.0,0.09347,0.2494,1.713,0.001
90,114.8,190.0,0.0,0.07223,0.193,1.753,0.001
95,105.9,189.5,0.0,0.05734,0.1506,1.784,0.001
100,106.6,205.9,0.0,0.04738,0.1214,1.808,0.001
105,107.5,213.7,0.0,0.04092,0.1022,1.824,0.001
110,107.9,213.8,0.0,0.03692,0.09103,1.833,0.001
115,107.0,206.6,0.0,0.03478,0.08659,1.837,0.001
120,108.8,204.9,0.0,0.03357,0.08584,1.838,0.001
125,105.8,190.9,0.0,0.03278,0.08667,1.837,0.001
130,109.9,193.3,0.0,0.03271,0.0893,1.834,0.001
135,108.9,185.1,0.0,0.03198,0.09043,1.833,0.001
140,110.2,181.7,0.0,0.03174,0.09208,1.832,0.001
145,112.3,180.5,0.0,0.03135,0.09305,1.831,0.001
150,109.4,169.7,0.0,0.03071,0.0928,1.831,0.001
155,110.4,166.7,0.0,0.03036,0.09265,1.832,0.001
160,114.2,170.3,0.0,0.02923,0.09039,1.834,0.001
165,114.7,166.7,0.0,0.02877,0.08942,1.835,0.001
170,112.2,157.9,0.0,0.02844,0.08879,1.836,0.001
175,113.2,155.5,0.0,0.02808,0.08798,1.837,0.001
180,117.7,158.6,0.0,0.02817,0.08829,1.836,0.001
185,117.6,154.3,0.0,0.02805,0.0886,1.835,0.001
190,120.4,153.8,0.0,0.02867,0.09065,1.833,0.001
195,123.1,152.9,0.0,0.02969,0.09336,1.831,0.001
200,123.9,150.1,0.0,0.02978,0.09446,1.829,0.001
205,125.7,148.3,0.0,0.03048,0.09662,1.827,0.001
210,121.9,139.1,0.0,0.03076,0.09786,1.826,0.001
215,128.8,144.9,0.0,0.03118,0.09897,1.825,0.001
220,125.4,136.7,0.0,0.03145,0.09987,1.824,0.001
225,131.0,141.0,0.0,0.03156,0.1003,1.823,0.001
230,132.5,139.1,0.0,0.0323,0.1024,1.821,0.001
235,134.0,136.6,0.0,0.03382,0.1063,1.818,0.001
240,127.5,124.1,0.0,0.03529,0.1094,1.815,0.001
245,139.1,136.7,0.0,0.0343,0.1076,1.816,0.001
250,149.9,146.8,0.0,0.03447,0.1082,1.816,0.001
255,144.8,137.3,0.0,0.03516,0.1103,1.814,0.001
260,146.1,133.9,0.0,0.03755,0.1151,1.809,0.001
265,153.5,140.0,0.0,0.03731,0.1163,1.806,0.001
270,149.1,132.2,0.0,0.03771,0.1181,1.805,0.001
275,144.5,123.6,0.0,0.03896,0.1211,1.805,0.001
280,152.3,128.0,0.0,0.04103,0.1258,1.8,0.001
285,158.1,131.8,0.0,0.0412,0.1268,1.798,0.001
290,156.7,127.5,0.0,0.04181,0.1288,1.796,0.001
295,160.2,128.5,0.0,0.04226,0.1305,1.794,0.001
300,161.2,126.0,0.0,0.04409,0.1352,1.791,0.001
305,157.0,120.8,0.0,0.04524,0.1382,1.788,0.001
310,167.5,131.3,0.0,0.04526,0.1378,1.788,0.001
315,166.1,131.0,0.0,0.04388,0.135,1.788,0.001
320,158.6,123.7,0.0,0.04363,0.1343,1.788,0.001
325,155.8,122.0,0.0,0.04229,0.1304,1.794,0.001
330,161.3,127.5,0.0,0.04225,0.13,1.799,0.001
335,165.5,130.1,0.0,0.04427,0.1332,1.795,0.001
340,161.8,126.5,0.0,0.04409,0.133,1.791,0.001
