it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,1592.0,1.391,0.0,1.99,0.5909,1.058,0.001
5,1122.0,1.496,0.0,1.402,0.8526,0.9804,0.001
10,924.7,2.043,0.0,1.156,0.9768,0.9562,0.001
15,910.2,1.627,0.0,1.138,0.9758,0.9746,0.001
20,867.7,0.8023,0.0,1.085,0.9812,0.9936,0.001
25,808.8,0.3078,0.0,1.011,0.9951,1.008,0.001
30,777.9,0.1212,0.0,0.9723,0.9982,1.019,0.001
35,764.1,0.1718,0.0,0.9551,0.9956,1.029,0.001
40,745.7,0.2856,0.0,0.9321,0.9956,1.038,0.001
45,725.8,0.481,0.0,0.9072,0.9951,1.049,0.001
50,706.3,0.8265,0.0,0.8827,0.9921,1.063,0.001
55,681.6,1.277,0.0,0.8516,0.9873,1.08,0.001
60,650.0,2.142,0.0,0.812,0.9788,1.103,0.001
65,610.5,3.609,0.0,0.7622,0.9635,1.134,0.001
70,560.0,6.257,0.0,0.6982,0.9383,1.176,0.001
75,498.1,9.622,0.0,0.6196,0.8982,1.228,0.001
80,428.5,15.39,0.0,0.5305,0.8385,1.291,0.001
85,356.1,24.95,0.0,0.4363,0.7591,1.361,0.001
90,284.8,38.1,0.0,0.3417,0.6629,1.437,0.001
95,218.1,50.58,0.0,0.2526,0.5503,1.517,0.001
100,163.0,70.44,0.0,0.1744,0.4245,1.601,0.001
105,121.5,92.65,0.0,0.1113,0.2979,1.685,0.001
110,95.04,116.6,0.0,0.06535,0.1873,1.762,0.001
115,83.59,142.7,0.0,0.03611,0.1057,1.828,0.001
120,83.29,167.9,0.0,0.02016,0.05528,1.878,0.001
125,84.85,179.3,0.0,0.01266,0.02993,1.909,0.001
130,91.81,193.9,0.0,0.009753,0.02045,1.922,0.001
135,89.17,181.5,0.0,0.009368,0.02011,1.92,0.001
140,90.94,177.1,0.0,0.01036,0.02525,1.909,0.001
145,92.4,170.5,0.0,0.01252,0.03428,1.894,0.001
150,90.9,157.2,0.0,0.0154,0.04538,1.879,0.001
155,95.03,155.5,0.0,0.01835,0.05607,1.865,0.001
160,99.05,154.4,0.0,0.02084,0.06491,1.856,0.001
165,101.2,151.6,0.0,0.02233,0.07041,1.85,0.001
170,102.5,148.3,0.0,0.0231,0.07327,1.848,0.001
175,107.2,151.7,0.0,0.02338,0.0744,1.846,0.001
180,106.2,145.6,0.0,0.02348,0.07486,1.846,0.001
185,108.0,144.9,0.0,0.02328,0.07443,1.846,0.001
190,110.8,145.6,0.0,0.02327,0.07444,1.846,0.001
195,110.8,141.2,0.0,0.02373,0.07592,1.844,0.001
200,117.1,146.7,0.0,0.02418,0.07755,1.842,0.001
205,116.7,141.4,0.0,0.02516,0.08063,1.839,0.001
210,119.9,141.2,0.0,0.02629,0.08411,1.835,0.001
215,118.5,134.7,0.0,0.02747,0.08768,1.832,0.001
220,120.5,133.7,0.0,0.02799,0.08956,1.83,0.001
225,121.5,131.4,0.0,0.02868,0.09158,1.827,0.001
