it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,297.6,0.04041,0.0,0.9887,0.9995,0.9884,0.001
100,9.911,27.17,0.0,0.002838,0.00126,0.9368,0.001
200,17.41,23.96,0.0,0.004745,0.0158,0.9008,0.001
300,7.559,6.416,0.0,0.003683,0.03796,0.3516,0.001
400,4.494,4.03,0.0,0.001493,0.0162,0.1692,0.001
500,3.317,2.994,0.0,0.001037,0.01247,0.1228,0.001
600,1.608,1.482,0.0,0.0003984,0.00662,0.07018,0.001
700,0.7319,0.6731,0.0,0.0001875,0.002593,0.04598,0.001
800,0.2356,0.2053,0.0,9.962e-05,0.0004119,0.02078,0.001
900,0.1189,0.1039,0.0,5.004e-05,8.21e-05,0.01156,0.001
1000,0.07909,0.0695,0.0,3.186e-05,3.025e-05,0.01118,0.001
1100,0.0633,0.05618,0.0,2.367e-05,1.947e-05,0.01142,0.001
1200,0.04928,0.04404,0.0,1.744e-05,7.791e-06,0.01093,0.001
1300,0.0395,0.03558,0.0,1.306e-05,8.012e-06,0.01072,0.001
1400,0.02997,0.02685,0.0,1.038e-05,5.512e-06,0.0095,0.001
1500,0.02457,0.02203,0.0,8.451e-06,4.039e-06,0.008886,0.001
