it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,292.9,0.4766,0.0,0.9731,0.9902,0.9214,0.001
100,10.07,25.81,0.0,0.004887,0.003941,0.905,0.001
200,4.441,5.858,0.0,0.001732,0.01592,0.2864,0.001
300,3.361,2.994,0.0,0.001191,0.01013,0.1305,0.001
400,2.143,1.887,0.0,0.0008308,0.007007,0.08432,0.001
500,0.6024,0.5325,0.0,0.0002273,0.001714,0.03614,0.001
600,0.123,0.09885,0.0,8.021e-05,5.901e-05,0.02012,0.001
700,0.05227,0.04508,0.0,2.393e-05,1.61e-05,0.01239,0.001
800,0.03402,0.03162,0.0,7.97e-06,8.405e-06,0.009958,0.001
900,0.02644,0.02558,0.0,2.839e-06,8.798e-06,0.008706,0.001
1000,0.02037,0.01963,0.0,2.458e-06,2.22e-06,0.007274,0.001
1100,0.01757,0.017,0.0,1.9e-06,4.433e-06,0.006154,0.001
1200,0.01348,0.01301,0.0,1.555e-06,8.072e-07,0.005379,0.001
1300,0.01188,0.01154,0.0,1.144e-06,4.129e-06,0.004648,0.001
1400,0.009385,0.00919,0.0,6.413e-07,2.809e-06,0.004151,0.001
1500,0.006613,0.006442,0.0,5.62e-07,1.68e-06,0.004156,0.001
