it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,288.8,0.08634,0.0,0.9593,0.9984,1.002,0.001
100,17.64,32.85,0.0,0.02222,0.02346,0.8704,0.001
200,13.18,14.52,0.0,0.01152,0.04664,0.5329,0.001
300,6.301,5.418,0.0,0.002904,0.01168,0.1398,0.001
400,4.78,4.301,0.0,0.001535,0.01872,0.1259,0.001
500,4.693,4.261,0.0,0.001379,0.01913,0.1246,0.001
600,3.716,3.316,0.0,0.001275,0.01744,0.1152,0.001
700,2.717,2.356,0.0,0.001157,0.01335,0.09921,0.001
800,2.135,1.815,0.0,0.001036,0.008462,0.08414,0.001
900,1.562,1.288,0.0,0.0008912,0.00685,0.0779,0.001
1000,1.107,0.8865,0.0,0.000718,0.005141,0.06994,0.001
1100,0.6909,0.5422,0.0,0.0004852,0.00316,0.05766,0.001
1200,0.4024,0.3189,0.0,0.0002727,0.00166,0.04408,0.001
1300,0.2333,0.1888,0.0,0.0001461,0.000734,0.03452,0.001
1400,0.1635,0.1403,0.0,7.616e-05,0.0003097,0.02885,0.001
1500,0.128,0.1161,0.0,3.928e-05,0.0001406,0.02431,0.001
