it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,292.4,0.03661,0.0,0.9713,0.9993,0.9983,0.001
100,13.25,30.24,0.0,0.01055,0.002918,0.8932,0.001
200,5.209,6.7,0.0,0.002442,0.009973,0.3274,0.001
300,4.52,4.154,0.0,0.001203,0.005009,0.1593,0.001
400,3.495,3.169,0.0,0.001057,0.009621,0.1343,0.001
500,2.481,2.203,0.0,0.000903,0.007717,0.1144,0.001
600,1.395,1.279,0.0,0.0003634,0.006638,0.08962,0.001
700,0.5194,0.4835,0.0,0.0001097,0.002929,0.04886,0.001
800,0.2059,0.1828,0.0,7.504e-05,0.0005894,0.02218,0.001
900,0.1162,0.1,0.0,5.345e-05,0.0001289,0.0145,0.001
1000,0.06803,0.0588,0.0,3.066e-05,4.154e-05,0.01159,0.001
1100,0.05604,0.05074,0.0,1.761e-05,1.776e-05,0.008868,0.001
1200,0.03929,0.03552,0.0,1.252e-05,1.387e-05,0.00864,0.001
1300,0.03427,0.0315,0.0,9.22e-06,4.101e-06,0.006713,0.001
1400,0.02763,0.02566,0.0,6.545e-06,4.829e-06,0.006142,0.001
1500,0.02503,0.02331,0.0,5.688e-06,6.959e-06,0.005859,0.001
