it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,247.8,0.03661,0.0,0.9713,0.9993,0.9983,0.001
100,12.8,30.38,0.0,0.01062,0.002988,0.9055,0.001
200,5.2,6.692,0.0,0.002786,0.008507,0.344,0.001
300,4.389,4.063,0.0,0.001203,0.005039,0.1578,0.001
400,3.412,3.131,0.0,0.001003,0.006188,0.1338,0.001
500,2.424,2.185,0.0,0.0008602,0.004917,0.1108,0.001
600,1.308,1.209,0.0,0.0003188,0.003849,0.08202,0.001
700,0.459,0.4269,0.0,9.864e-05,0.00149,0.03875,0.001
800,0.1718,0.1556,0.0,5.97e-05,0.0002378,0.01547,0.001
900,0.09677,0.08581,0.0,4.283e-05,5.022e-05,0.01056,0.001
1000,0.05972,0.05297,0.0,2.661e-05,1.975e-05,0.009658,0.001
1100,0.04993,0.04599,0.0,1.566e-05,6.049e-06,0.007833,0.001
1200,0.03434,0.03144,0.0,1.151e-05,5.543e-06,0.008174,0.001
1300,0.02897,0.02701,0.0,7.816e-06,2.066e-06,0.006351,0.001
1400,0.02297,0.0216,0.0,5.442e-06,1.118e-06,0.005788,0.001
1500,0.02049,0.01923,0.0,4.949e-06,3.587e-06,0.005407,0.001
