it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,248.2,0.4766,0.0,0.9731,0.9902,0.9213,0.001
100,9.833,25.7,0.0,0.004963,0.004764,0.9056,0.001
200,3.991,5.214,0.0,0.001967,0.004702,0.2616,0.001
300,3.081,2.754,0.0,0.001166,0.007006,0.1159,0.001
400,1.545,1.375,0.0,0.0006064,0.003703,0.06103,0.001
500,0.2929,0.2527,0.0,0.0001528,0.000403,0.02476,0.001
600,0.08458,0.06811,0.0,6.549e-05,1.889e-05,0.01753,0.001
700,0.04257,0.03693,0.0,2.242e-05,5.956e-06,0.01154,0.001
800,0.02941,0.02704,0.0,9.368e-06,4.58e-06,0.009737,0.001
900,0.02303,0.02197,0.0,4.113e-06,6.327e-06,0.008771,0.001
1000,0.01783,0.01693,0.0,3.575e-06,3.976e-07,0.007563,0.001
1100,0.01573,0.01491,0.0,3.218e-06,3.441e-06,0.006483,0.001
1200,0.01251,0.01173,0.0,3.108e-06,2.833e-07,0.005659,0.001
1300,0.01089,0.0103,0.0,2.326e-06,2.878e-06,0.004691,0.001
1400,0.008686,0.008222,0.0,1.814e-06,2.029e-06,0.00424,0.001
1500,0.006164,0.005822,0.0,1.35e-06,8.511e-07,0.004251,0.001
