it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,271.9,0.2492,0.0,1.068,0.9949,1.031,0.001
50,6.446,28.61,0.0,0.006685,0.001171,0.933,0.001
100,9.266,24.43,0.0,0.004328,0.007906,0.898,0.001
150,9.506,17.18,0.0,0.003502,0.007636,0.7329,0.001
200,4.501,6.004,0.0,0.001859,0.006705,0.2818,0.001
250,3.682,4.026,0.0,0.00126,0.00259,0.1579,0.001
300,3.573,3.234,0.0,0.001231,0.006342,0.131,0.001
350,3.08,2.771,0.0,0.001111,0.006284,0.1092,0.001
400,2.031,1.785,0.0,0.0008781,0.005197,0.08856,0.001
450,1.029,0.9565,0.0,0.0002455,0.002303,0.0497,0.001
500,0.4411,0.4088,0.0,0.0001224,0.0003321,0.02419,0.001
550,0.1811,0.1636,0.0,6.962e-05,2.68e-05,0.01811,0.001
600,0.09099,0.08113,0.0,3.927e-05,7.37e-06,0.01213,0.001
650,0.04616,0.04086,0.0,2.11e-05,5.596e-06,0.008538,0.001
700,0.02887,0.0262,0.0,1.058e-05,6.782e-06,0.008529,0.001
750,0.02764,0.02588,0.0,6.937e-06,6.231e-06,0.008407,0.001
800,0.02359,0.02217,0.0,5.647e-06,1.695e-06,0.008054,0.001
850,0.01816,0.01712,0.0,4.106e-06,2.75e-06,0.007866,0.001
900,0.01664,0.01567,0.0,3.876e-06,1.514e-06,0.008144,0.001
950,0.0151,0.01438,0.0,2.869e-06,1.7e-06,0.007465,0.001
1000,0.01494,0.01416,0.0,3.055e-06,1.78e-06,0.007331,0.001
1050,0.01299,0.01232,0.0,2.672e-06,1.221e-06,0.006949,0.001
1100,0.0112,0.01042,0.0,3.102e-06,1.014e-06,0.006333,0.001
1150,0.01052,0.01,0.0,2.081e-06,1.032e-07,0.006288,0.001
1200,0.00955,0.00902,0.0,2.069e-06,2.481e-06,0.005954,0.001
1250,0.00851,0.007972,0.0,2.13e-06,1.126e-06,0.00565,0.001
1300,0.00828,0.007736,0.0,2.176e-06,2.615e-08,0.00536,0.001
1350,0.008179,0.007817,0.0,1.43e-06,9.52e-07,0.005189,0.001
1400,0.007106,0.006689,0.0,1.662e-06,3.994e-07,0.004849,0.001
1450,0.006764,0.006449,0.0,1.254e-06,3.706e-07,0.004838,0.001
1500,0.007031,0.006619,0.0,1.645e-06,1.516e-07,0.00419,0.001
