it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,213.8,2.2,0.0,0.8359,0.9677,0.8774,0.001
5,171.3,1.509,0.0,0.6662,0.9279,0.877,0.001
10,125.2,2.859,0.0,0.4834,0.8196,0.8811,0.001
15,85.01,6.087,0.0,0.324,0.6512,0.8674,0.001
20,49.78,9.985,0.0,0.1836,0.4436,0.8431,0.001
25,25.03,15.74,0.0,0.08241,0.2291,0.8488,0.001
30,11.64,22.28,0.0,0.02296,0.06722,0.903,0.001
35,9.451,29.0,0.0,0.003926,0.002253,0.9543,0.001
40,12.52,33.53,0.0,0.005186,0.008734,0.9683,0.001
45,14.66,34.04,0.0,0.007239,0.01617,0.9733,0.001
50,14.74,32.65,0.0,0.004437,0.00545,0.9599,0.001
55,13.75,28.7,0.0,0.002379,0.0006693,0.9314,0.001
60,14.55,27.1,0.0,0.003769,0.01081,0.9155,0.001
65,15.33,24.98,0.0,0.006693,0.02564,0.9048,0.001
70,16.5,24.24,0.0,0.008733,0.03544,0.8962,0.001
75,16.98,23.32,0.0,0.008887,0.03783,0.896,0.001
80,18.0,23.79,0.0,0.007873,0.03536,0.896,0.001
85,18.56,23.57,0.0,0.006804,0.03232,0.8949,0.001
90,19.42,23.63,0.0,0.00615,0.03158,0.8938,0.001
95,20.01,23.07,0.0,0.006312,0.03442,0.8891,0.001
100,20.9,22.71,0.0,0.007097,0.04019,0.8841,0.001
105,21.39,21.87,0.0,0.008053,0.04645,0.8791,0.001
110,21.83,21.16,0.0,0.008736,0.05084,0.8752,0.001
115,22.49,20.93,0.0,0.008685,0.05173,0.8731,0.001
120,23.33,21.01,0.0,0.008271,0.05052,0.8714,0.001
125,23.36,21.22,0.0,0.007585,0.04833,0.871,0.001
130,22.76,20.74,0.0,0.007127,0.04703,0.8692,0.001
135,23.04,21.08,0.0,0.0069,0.04701,0.8672,0.001
140,22.87,20.9,0.0,0.006888,0.04807,0.8646,0.001
145,22.56,20.55,0.0,0.007029,0.05006,0.8624,0.001
150,22.67,20.63,0.0,0.007116,0.05165,0.8594,0.001
155,22.76,20.6,0.0,0.007533,0.05437,0.8563,0.001
160,21.58,19.28,0.0,0.008031,0.05749,0.8548,0.001
165,22.1,19.8,0.0,0.008061,0.05797,0.8531,0.001
170,22.33,20.2,0.0,0.007414,0.05539,0.8532,0.001
175,21.65,19.62,0.0,0.007021,0.05372,0.8525,0.001
180,21.45,19.38,0.0,0.007178,0.05392,0.8511,0.001
185,21.31,19.16,0.0,0.007474,0.05517,0.8504,0.001
190,21.4,19.11,0.0,0.008031,0.05637,0.8486,0.001
195,21.88,19.71,0.0,0.007582,0.05456,0.8489,0.001
200,21.53,19.56,0.0,0.006857,0.05143,0.8476,0.001
205,20.97,18.95,0.0,0.007073,0.05201,0.8456,0.001
210,20.91,18.66,0.0,0.007933,0.0545,0.8418,0.001
215,20.9,18.66,0.0,0.007859,0.05459,0.8397,0.001
220,20.57,18.45,0.0,0.007417,0.05299,0.8344,0.001
