it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,209.3,0.3524,0.0,0.8176,0.9796,0.9394,0.001
5,145.7,1.974,0.0,0.5648,0.8779,0.8676,0.001
10,84.52,5.628,0.0,0.323,0.6608,0.8463,0.001
15,42.51,10.89,0.0,0.1565,0.4047,0.8362,0.001
20,17.88,17.36,0.0,0.05636,0.1783,0.8664,0.001
25,7.922,24.14,0.0,0.01078,0.03922,0.909,0.001
30,7.855,29.86,0.0,0.001549,0.0003721,0.9459,0.001
35,11.11,33.18,0.0,0.005503,0.0118,0.9681,0.001
40,12.94,33.49,0.0,0.006794,0.01543,0.964,0.001
45,12.85,31.75,0.0,0.003691,0.004927,0.9465,0.001
50,12.51,29.05,0.0,0.001596,0.001986,0.9225,0.001
55,13.11,26.88,0.0,0.002881,0.01356,0.9027,0.001
60,13.94,24.67,0.0,0.00582,0.02935,0.889,0.001
65,15.14,24.09,0.0,0.007593,0.03848,0.8819,0.001
70,16.0,23.88,0.0,0.007494,0.03876,0.8795,0.001
75,17.27,24.77,0.0,0.006456,0.03467,0.8778,0.001
80,17.87,24.49,0.0,0.005529,0.0309,0.8757,0.001
85,18.83,24.54,0.0,0.005192,0.03013,0.8698,0.001
90,19.4,23.82,0.0,0.005488,0.03286,0.8608,0.001
95,20.17,23.24,0.0,0.006304,0.03843,0.848,0.001
100,20.64,22.31,0.0,0.007312,0.04534,0.8331,0.001
105,20.92,21.26,0.0,0.008228,0.05157,0.816,0.001
110,20.86,20.06,0.0,0.008785,0.05635,0.7948,0.001
115,20.36,18.59,0.0,0.00899,0.05952,0.7705,0.001
120,19.81,17.21,0.0,0.009163,0.06153,0.7351,0.001
125,18.02,15.48,0.0,0.008921,0.06142,0.6906,0.001
130,16.14,13.83,0.0,0.008084,0.05804,0.6383,0.001
135,14.23,12.24,0.0,0.006897,0.05231,0.5793,0.001
140,12.56,10.94,0.0,0.005562,0.0451,0.5212,0.001
145,11.29,10.03,0.0,0.004249,0.03811,0.4681,0.001
150,10.18,9.226,0.0,0.003146,0.0335,0.4189,0.001
155,8.974,8.191,0.0,0.002485,0.03228,0.3833,0.001
160,9.032,8.258,0.0,0.002439,0.03295,0.3516,0.001
165,8.766,8.024,0.0,0.002257,0.03546,0.3307,0.001
170,8.657,7.841,0.0,0.002556,0.03541,0.3142,0.001
175,8.202,7.431,0.0,0.002396,0.03435,0.3072,0.001
180,7.732,7.01,0.0,0.002252,0.03166,0.3088,0.001
185,7.63,6.935,0.0,0.002187,0.02971,0.3174,0.001
190,7.07,6.352,0.0,0.002292,0.02899,0.3237,0.001
195,6.665,5.993,0.0,0.002105,0.02931,0.3256,0.001
200,6.278,5.568,0.0,0.002299,0.02699,0.3158,0.001
205,5.646,5.011,0.0,0.002047,0.02457,0.3012,0.001
210,5.082,4.478,0.0,0.002001,0.02084,0.2845,0.001
215,4.8,4.249,0.0,0.001855,0.01746,0.2647,0.001
220,4.102,3.596,0.0,0.001743,0.01404,0.2397,0.001
225,4.047,3.535,0.0,0.001839,0.01036,0.2161,0.001
230,3.443,2.913,0.0,0.00196,0.007956,0.1965,0.001
235,3.373,2.848,0.0,0.001969,0.006654,0.18,0.001
240,2.878,2.355,0.0,0.001984,0.00552,0.1649,0.001
245,2.629,2.09,0.0,0.002052,0.005014,0.1518,0.001
250,2.365,1.84,0.0,0.002002,0.004917,0.1412,0.001
255,2.234,1.752,0.0,0.001831,0.004733,0.1316,0.001
260,1.988,1.529,0.0,0.001762,0.003822,0.1222,0.001
265,1.774,1.412,0.0,0.001378,0.003588,0.1136,0.001
270,1.605,1.308,0.0,0.001124,0.003255,0.1061,0.001
275,1.378,1.126,0.0,0.0009471,0.003081,0.09737,0.001
280,1.144,0.9467,0.0,0.0007268,0.003043,0.08809,0.001
285,1.048,0.8923,0.0,0.0005756,0.002373,0.07928,0.001
