it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,273.0,0.667,0.0,1.072,0.9938,0.9733,0.001
5,220.2,0.188,0.0,0.8611,0.9898,0.9472,0.001
10,164.8,1.273,0.0,0.6405,0.9226,0.9124,0.001
15,117.3,3.279,0.0,0.4516,0.7981,0.8669,0.001
20,78.34,6.21,0.0,0.2966,0.6302,0.831,0.001
25,48.54,10.09,0.0,0.1769,0.4412,0.8286,0.001
30,27.61,14.65,0.0,0.09058,0.2607,0.8551,0.001
35,15.59,19.6,0.0,0.03711,0.1185,0.8841,0.001
40,10.93,24.35,0.0,0.01056,0.03422,0.9089,0.001
45,11.13,28.21,0.0,0.002133,0.003164,0.9382,0.001
50,13.17,30.62,0.0,0.001638,0.0005701,0.9569,0.001
55,14.92,31.35,0.0,0.002161,0.002423,0.9565,0.001
60,15.77,30.66,0.0,0.001752,0.0008855,0.9504,0.001
65,16.16,29.19,0.0,0.00139,0.0005225,0.9378,0.001
70,16.57,27.33,0.0,0.002358,0.006387,0.9211,0.001
75,17.46,25.92,0.0,0.004683,0.01818,0.9086,0.001
80,18.27,24.43,0.0,0.007314,0.03086,0.8988,0.001
85,19.28,23.77,0.0,0.008983,0.03897,0.8931,0.001
90,19.99,23.32,0.0,0.009195,0.04089,0.8919,0.001
95,20.91,23.44,0.0,0.008643,0.03917,0.8914,0.001
100,21.83,23.54,0.0,0.008078,0.0373,0.891,0.001
105,22.44,23.18,0.0,0.007859,0.037,0.889,0.001
110,22.89,22.54,0.0,0.008134,0.03896,0.8852,0.001
115,23.15,21.68,0.0,0.008668,0.04237,0.8802,0.001
120,23.7,21.16,0.0,0.009244,0.04642,0.8742,0.001
125,23.15,20.54,0.0,0.00942,0.04971,0.8682,0.001
130,21.96,19.4,0.0,0.009183,0.05204,0.8623,0.001
135,21.42,18.94,0.0,0.008824,0.05363,0.8552,0.001
140,20.86,18.45,0.0,0.008552,0.05504,0.847,0.001
145,20.07,17.73,0.0,0.008273,0.05554,0.8376,0.001
150,20.08,17.85,0.0,0.007831,0.05571,0.8249,0.001
155,19.61,17.48,0.0,0.007358,0.05697,0.8083,0.001
160,17.48,15.35,0.0,0.00729,0.06128,0.7847,0.001
165,17.28,15.16,0.0,0.007153,0.06612,0.7567,0.001
170,16.6,14.52,0.0,0.006909,0.06985,0.7257,0.001
175,15.11,13.12,0.0,0.006566,0.07099,0.6895,0.001
180,13.55,11.8,0.0,0.005644,0.06882,0.6494,0.001
