it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,251.7,1.02,0.0,0.9871,0.9927,0.9441,0.001
5,190.6,0.6354,0.0,0.7431,0.9621,0.9414,0.001
10,131.2,2.88,0.0,0.507,0.8354,0.894,0.001
15,82.57,5.744,0.0,0.3144,0.6524,0.8389,0.001
20,47.97,10.05,0.0,0.1764,0.4408,0.8227,0.001
25,25.12,15.1,0.0,0.08302,0.2431,0.8534,0.001
30,13.29,20.4,0.0,0.0308,0.09863,0.8878,0.001
35,9.291,25.13,0.0,0.007381,0.02326,0.9076,0.001
40,10.03,28.76,0.0,0.001733,0.000737,0.932,0.001
45,12.15,30.87,0.0,0.002268,0.002369,0.9508,0.001
50,13.73,31.21,0.0,0.002819,0.00434,0.9455,0.001
55,14.39,30.25,0.0,0.002096,0.001456,0.9323,0.001
60,14.44,28.13,0.0,0.001478,0.0004776,0.9167,0.001
65,14.72,25.86,0.0,0.002689,0.007489,0.8933,0.001
70,15.26,23.52,0.0,0.005741,0.02181,0.8734,0.001
75,16.49,22.65,0.0,0.00864,0.03516,0.8593,0.001
80,16.82,21.54,0.0,0.009043,0.03835,0.8488,0.001
85,17.4,21.6,0.0,0.007701,0.03464,0.8428,0.001
90,17.57,21.02,0.0,0.006604,0.03205,0.8306,0.001
95,17.95,20.42,0.0,0.006463,0.03419,0.8123,0.001
100,18.02,19.25,0.0,0.007106,0.04088,0.7877,0.001
105,17.91,17.94,0.0,0.00786,0.04854,0.7595,0.001
110,17.59,16.74,0.0,0.007896,0.05364,0.7298,0.001
115,16.86,15.38,0.0,0.007345,0.056,0.6976,0.001
120,16.31,14.28,0.0,0.00693,0.05839,0.6591,0.001
125,14.72,12.8,0.0,0.006509,0.06007,0.6173,0.001
130,13.4,11.66,0.0,0.005775,0.05934,0.5743,0.001
135,12.05,10.51,0.0,0.005037,0.05574,0.5304,0.001
140,10.86,9.535,0.0,0.004313,0.04998,0.4877,0.001
145,9.885,8.728,0.0,0.003756,0.04367,0.4487,0.001
150,9.491,8.432,0.0,0.003473,0.03832,0.4103,0.001
155,8.428,7.43,0.0,0.003302,0.03448,0.3809,0.001
160,8.265,7.297,0.0,0.003205,0.03335,0.3507,0.001
165,7.748,6.844,0.0,0.002944,0.03371,0.3311,0.001
170,7.397,6.463,0.0,0.003055,0.03405,0.3156,0.001
175,7.025,6.157,0.0,0.002814,0.0328,0.3054,0.001
180,6.416,5.594,0.0,0.002693,0.02973,0.2981,0.001
185,6.395,5.63,0.0,0.002514,0.02715,0.292,0.001
190,5.796,4.987,0.0,0.002698,0.02689,0.2797,0.001
195,5.612,4.874,0.0,0.002416,0.02682,0.2681,0.001
200,5.187,4.378,0.0,0.002737,0.02498,0.2536,0.001
205,4.679,4.017,0.0,0.002207,0.02215,0.2423,0.001
210,4.287,3.53,0.0,0.002606,0.0212,0.2261,0.001
215,3.983,3.315,0.0,0.00227,0.02021,0.2118,0.001
220,3.393,2.83,0.0,0.001915,0.01682,0.198,0.001
225,3.192,2.587,0.0,0.002124,0.01489,0.1803,0.001
230,2.689,2.146,0.0,0.001901,0.01354,0.1653,0.001
235,2.434,1.92,0.0,0.001834,0.01105,0.1487,0.001
240,1.99,1.543,0.0,0.001617,0.008547,0.1331,0.001
245,1.735,1.286,0.0,0.001641,0.007785,0.1153,0.001
250,1.498,1.082,0.0,0.00155,0.005701,0.1007,0.001
255,1.413,1.075,0.0,0.001262,0.004541,0.08728,0.001
260,1.236,0.9082,0.0,0.001242,0.003543,0.07506,0.001
265,1.191,0.9157,0.0,0.001047,0.002725,0.06647,0.001
270,1.135,0.903,0.0,0.0008867,0.00216,0.05949,0.001
275,0.9559,0.7251,0.0,0.0008823,0.002048,0.05479,0.001
280,0.8847,0.6864,0.0,0.0007563,0.001843,0.05253,0.001
285,0.7871,0.6179,0.0,0.0006416,0.001748,0.05095,0.001
290,0.7822,0.6388,0.0,0.0005395,0.00172,0.04902,0.001
295,0.734,0.6142,0.0,0.00045,0.00146,0.04688,0.001
300,0.6976,0.5786,0.0,0.0004429,0.001662,0.04605,0.001
305,0.6995,0.586,0.0,0.0004186,0.001764,0.04508,0.001
310,0.7124,0.6113,0.0,0.0003747,0.001485,0.04328,0.001
315,0.6508,0.5598,0.0,0.0003276,0.001821,0.04443,0.001
320,0.6022,0.5199,0.0,0.0002995,0.001485,0.0426,0.001
325,0.5885,0.5171,0.0,0.0002579,0.001377,0.04195,0.001
330,0.599,0.5293,0.0,0.0002456,0.001659,0.04129,0.001
335,0.5254,0.4605,0.0,0.000236,0.001178,0.0392,0.001
