it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,275.6,2.398,0.0,1.083,0.9854,0.939,0.001
5,206.4,0.4573,0.0,0.8062,0.9769,0.9343,0.001
10,140.0,2.473,0.0,0.5427,0.8495,0.9021,0.001
15,82.64,6.103,0.0,0.3166,0.6353,0.8423,0.001
20,41.14,11.96,0.0,0.1539,0.3734,0.8251,0.001
25,15.34,18.64,0.0,0.05227,0.1439,0.88,0.001
30,4.992,25.57,0.0,0.00935,0.01949,0.9426,0.001
35,4.138,31.47,0.0,0.001777,0.004315,0.9715,0.001
40,6.687,35.03,0.0,0.007416,0.03244,0.9949,0.001
45,7.925,35.51,0.0,0.00954,0.04288,1.006,0.001
50,7.438,34.27,0.0,0.006369,0.02672,0.986,0.001
55,6.501,31.69,0.0,0.002619,0.007494,0.9651,0.001
60,6.218,29.47,0.0,0.001289,0.0001779,0.9507,0.001
65,6.516,27.57,0.0,0.002118,0.002773,0.9341,0.001
70,7.065,26.57,0.0,0.00332,0.00734,0.9271,0.001
75,7.541,26.32,0.0,0.003666,0.009016,0.9269,0.001
80,7.871,26.37,0.0,0.003199,0.007734,0.9265,0.001
85,8.211,26.65,0.0,0.002525,0.005548,0.9296,0.001
90,8.6,26.89,0.0,0.002047,0.004021,0.9313,0.001
95,9.034,27.01,0.0,0.001855,0.003609,0.9301,0.001
100,9.482,26.97,0.0,0.001885,0.004236,0.9283,0.001
105,9.812,26.46,0.0,0.00209,0.005709,0.9245,0.001
110,10.15,25.94,0.0,0.002393,0.007688,0.9207,0.001
115,10.53,25.59,0.0,0.002669,0.00959,0.9175,0.001
120,10.95,25.45,0.0,0.002849,0.01102,0.9147,0.001
125,11.34,25.34,0.0,0.002888,0.01181,0.9129,0.001
130,11.58,24.92,0.0,0.002873,0.01234,0.9108,0.001
135,12.02,24.97,0.0,0.00287,0.01296,0.9087,0.001
140,12.33,24.71,0.0,0.002914,0.01386,0.9059,0.001
145,12.64,24.41,0.0,0.003036,0.01522,0.9025,0.001
150,12.97,24.19,0.0,0.003175,0.01685,0.8985,0.001
155,13.29,23.91,0.0,0.003367,0.01885,0.8934,0.001
160,13.18,22.84,0.0,0.003591,0.02124,0.8877,0.001
165,13.6,22.79,0.0,0.003781,0.02366,0.881,0.001
170,13.88,22.57,0.0,0.003853,0.02593,0.8733,0.001
175,13.9,21.91,0.0,0.00391,0.02856,0.8638,0.001
180,13.86,21.17,0.0,0.004006,0.03193,0.8516,0.001
185,13.78,20.36,0.0,0.004195,0.03628,0.8364,0.001
190,13.73,19.59,0.0,0.004467,0.04153,0.8171,0.001
195,13.75,19.03,0.0,0.004622,0.04656,0.7941,0.001
200,13.22,17.76,0.0,0.004503,0.05046,0.7667,0.001
205,12.45,16.19,0.0,0.004478,0.05446,0.732,0.001
210,11.64,14.61,0.0,0.004476,0.05818,0.6887,0.001
215,10.87,13.25,0.0,0.004307,0.05973,0.6362,0.001
220,9.435,11.16,0.0,0.003844,0.05791,0.5749,0.001
225,8.533,9.92,0.0,0.003322,0.05238,0.5052,0.001
230,7.172,8.181,0.0,0.002737,0.04307,0.4348,0.001
235,6.797,7.748,0.0,0.002272,0.03193,0.3679,0.001
240,6.394,7.327,0.0,0.001677,0.02268,0.3204,0.001
245,6.4,7.327,0.0,0.001316,0.01753,0.2917,0.001
250,5.951,6.701,0.0,0.001139,0.01653,0.2859,0.001
255,5.973,6.585,0.0,0.001138,0.01821,0.2843,0.001
260,5.853,6.276,0.0,0.001242,0.02067,0.2866,0.001
265,5.546,5.77,0.0,0.00134,0.02284,0.2878,0.001
270,5.602,5.707,0.0,0.001379,0.02422,0.284,0.001
275,5.272,5.201,0.0,0.001573,0.02229,0.2789,0.001
280,4.8,4.633,0.0,0.001489,0.02078,0.2704,0.001
285,4.616,4.352,0.0,0.001573,0.0177,0.259,0.001
290,4.42,4.01,0.0,0.001886,0.01432,0.2452,0.001
295,4.331,3.879,0.0,0.001782,0.01409,0.2297,0.001
300,4.054,3.473,0.0,0.002076,0.01242,0.2126,0.001
305,3.863,3.177,0.0,0.002558,0.009291,0.1916,0.001
310,3.677,3.037,0.0,0.002388,0.008543,0.175,0.001
315,3.3,2.62,0.0,0.002591,0.0064,0.1616,0.001
320,3.167,2.495,0.0,0.00258,0.005434,0.1491,0.001
325,2.887,2.217,0.0,0.002593,0.004208,0.1359,0.001
330,2.725,2.051,0.0,0.002636,0.002985,0.1237,0.001
335,2.609,1.994,0.0,0.002402,0.00296,0.1136,0.001
340,2.396,1.782,0.0,0.002413,0.00208,0.1054,0.001
345,2.137,1.578,0.0,0.002191,0.002108,0.09993,0.001
350,2.05,1.528,0.0,0.002061,0.00142,0.0937,0.001
355,1.87,1.408,0.0,0.001818,0.001451,0.08843,0.001
360,1.783,1.343,0.0,0.001733,0.001207,0.08578,0.001
365,1.763,1.362,0.0,0.00158,0.001184,0.08366,0.001
370,1.78,1.423,0.0,0.001408,0.001102,0.08114,0.001
375,1.638,1.322,0.0,0.001242,0.001199,0.07896,0.001
380,1.504,1.217,0.0,0.001128,0.0009911,0.07576,0.001
385,1.474,1.211,0.0,0.001031,0.0009576,0.07376,0.001
390,1.482,1.24,0.0,0.0009473,0.0009616,0.07215,0.001
395,1.349,1.125,0.0,0.0008825,0.0007283,0.06986,0.001
400,1.259,1.061,0.0,0.0007738,0.0008689,0.06833,0.001
405,1.3,1.111,0.0,0.000745,0.0007057,0.06675,0.001
410,1.333,1.158,0.0,0.0006883,0.000608,0.06487,0.001
415,1.223,1.061,0.0,0.0006367,0.0006107,0.06362,0.001
420,1.194,1.045,0.0,0.0005821,0.000732,0.06215,0.001
425,1.179,1.042,0.0,0.0005386,0.000592,0.05986,0.001
430,1.266,1.131,0.0,0.0005276,0.0005865,0.05966,0.001
435,1.226,1.099,0.0,0.0004973,0.0006058,0.05744,0.001
440,1.073,0.9531,0.0,0.0004707,0.0005184,0.05518,0.001
