it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,208.5,7.105,0.0,0.8157,0.9055,0.7968,0.001
5,114.2,4.79,0.0,0.4408,0.7796,0.8264,0.001
10,45.64,11.63,0.0,0.1724,0.4295,0.8688,0.001
15,10.34,21.15,0.0,0.03501,0.1063,0.899,0.001
20,3.069,30.68,0.0,0.004086,0.0003192,0.9432,0.001
25,7.745,36.49,0.0,0.01764,0.05892,1.0,0.001
30,9.684,37.37,0.0,0.0222,0.07952,1.014,0.001
35,6.799,34.06,0.0,0.01069,0.03078,0.9714,0.001
40,4.489,28.94,0.0,0.0025,0.00121,0.9264,0.001
45,4.538,25.79,0.0,0.002496,0.009058,0.9073,0.001
50,5.367,23.98,0.0,0.005038,0.02209,0.897,0.001
55,5.666,23.87,0.0,0.004733,0.02134,0.8903,0.001
60,5.638,24.36,0.0,0.002816,0.0125,0.8964,0.001
65,5.961,25.65,0.0,0.001497,0.00566,0.9039,0.001
70,6.382,25.99,0.0,0.001204,0.003289,0.9009,0.001
75,6.822,25.98,0.0,0.001238,0.003761,0.8936,0.001
80,7.039,24.97,0.0,0.001393,0.006329,0.8847,0.001
85,7.269,23.87,0.0,0.001824,0.01011,0.8729,0.001
90,7.591,23.25,0.0,0.002197,0.01319,0.8635,0.001
95,7.817,22.7,0.0,0.00223,0.01449,0.8569,0.001
100,8.15,22.66,0.0,0.002093,0.01461,0.8492,0.001
105,8.33,22.18,0.0,0.001964,0.01487,0.8414,0.001
110,8.518,21.69,0.0,0.001936,0.01608,0.8321,0.001
115,8.748,21.25,0.0,0.002039,0.01821,0.8207,0.001
120,8.688,20.1,0.0,0.002168,0.02076,0.8089,0.001
125,8.847,19.6,0.0,0.00226,0.02307,0.7962,0.001
130,8.981,19.13,0.0,0.002263,0.02478,0.7833,0.001
135,8.951,18.37,0.0,0.002219,0.02614,0.7692,0.001
140,9.049,17.91,0.0,0.00221,0.02772,0.7534,0.001
145,8.92,17.01,0.0,0.002209,0.02952,0.7362,0.001
150,8.887,16.33,0.0,0.00225,0.03159,0.7166,0.001
155,8.539,15.14,0.0,0.002211,0.03306,0.6956,0.001
160,8.328,14.27,0.0,0.00218,0.03463,0.6722,0.001
165,7.962,13.18,0.0,0.002124,0.03629,0.6462,0.001
170,7.682,12.3,0.0,0.002083,0.03804,0.6183,0.001
175,7.278,11.28,0.0,0.002003,0.0392,0.5882,0.001
180,6.802,10.23,0.0,0.001865,0.03959,0.557,0.001
185,6.253,9.106,0.0,0.001753,0.0399,0.5232,0.001
190,5.901,8.334,0.0,0.001678,0.04061,0.4882,0.001
195,5.43,7.422,0.0,0.001609,0.04074,0.4523,0.001
200,4.857,6.432,0.0,0.001485,0.03963,0.4176,0.001
205,4.486,5.783,0.0,0.001381,0.03791,0.3823,0.001
210,3.951,4.904,0.0,0.001343,0.03647,0.3487,0.001
215,3.668,4.422,0.0,0.001292,0.03511,0.3178,0.001
