it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,1474.0,263.7,0.0,5.891,0.005401,0.7084,0.001
2,1323.0,233.3,0.0,5.285,0.03582,0.7084,0.001
4,1051.0,177.3,0.0,4.19,0.1534,0.7084,0.001
6,817.0,130.3,0.0,3.252,0.3081,0.5901,0.001
8,621.4,92.42,0.0,2.466,0.4633,0.5901,0.001
10,461.5,62.51,0.0,1.826,0.5929,0.5774,0.001
12,334.3,40.07,0.0,1.317,0.6813,0.5774,0.001
14,236.4,24.41,0.0,0.9266,0.7221,0.5774,0.001
16,163.7,14.53,0.0,0.6374,0.7163,0.673,0.001
18,112.1,9.309,0.0,0.4326,0.6709,0.673,0.001
20,77.28,7.723,0.0,0.2951,0.5963,0.7981,0.001
22,55.2,8.728,0.0,0.2082,0.5038,0.7981,0.001
24,42.07,11.35,0.0,0.1565,0.4044,0.7981,0.001
26,34.63,14.79,0.0,0.1273,0.3074,0.9042,0.001
28,30.36,18.46,0.0,0.1101,0.2197,0.9042,0.001
30,27.43,21.91,0.0,0.09805,0.1458,0.9739,0.001
32,24.79,24.93,0.0,0.08675,0.08777,0.9739,0.001
34,21.93,27.28,0.0,0.07443,0.0459,0.9739,0.001
36,18.85,29.23,0.0,0.06099,0.01894,1.008,0.001
38,15.73,30.57,0.0,0.04733,0.004621,1.008,0.001
40,12.9,31.71,0.0,0.0347,0.0001257,1.014,0.001
42,10.6,32.46,0.0,0.02416,0.00238,1.014,0.001
44,9.018,33.27,0.0,0.01638,0.008404,1.014,0.001
46,8.091,33.59,0.0,0.01145,0.01558,1.003,0.001
48,7.842,34.29,0.0,0.008982,0.02189,1.003,0.001
50,7.925,34.34,0.0,0.008286,0.02599,0.9823,0.001
52,8.228,34.35,0.0,0.008549,0.02731,0.9823,0.001
54,8.551,34.23,0.0,0.009039,0.02593,0.9823,0.001
56,8.772,34.03,0.0,0.009227,0.02241,0.9607,0.001
58,8.781,33.52,0.0,0.008852,0.0176,0.9607,0.001
60,8.596,32.8,0.0,0.007897,0.01241,0.9431,0.001
62,8.312,32.13,0.0,0.006533,0.007642,0.9431,0.001
64,7.979,31.43,0.0,0.005019,0.003861,0.9431,0.001
66,7.587,30.34,0.0,0.00362,0.001371,0.9318,0.001
68,7.342,29.58,0.0,0.002543,0.0002258,0.9318,0.001
70,7.226,28.93,0.0,0.001892,0.0002772,0.926,0.001
72,7.249,28.43,0.0,0.001674,0.001254,0.926,0.001
74,7.287,27.65,0.0,0.001811,0.002828,0.926,0.001
76,7.506,27.38,0.0,0.00218,0.004677,0.9229,0.001
78,7.676,26.86,0.0,0.002643,0.006524,0.9229,0.001
80,7.921,26.66,0.0,0.003084,0.008161,0.9201,0.001
82,8.08,26.26,0.0,0.003422,0.009454,0.9201,0.001
84,8.328,26.32,0.0,0.003622,0.01034,0.9201,0.001
86,8.474,26.16,0.0,0.003684,0.01083,0.9165,0.001
88,8.658,26.23,0.0,0.003636,0.01095,0.9165,0.001
90,8.747,26.05,0.0,0.003515,0.01079,0.9126,0.001
92,8.834,25.9,0.0,0.003359,0.01041,0.9126,0.001
94,9.047,26.16,0.0,0.003198,0.009915,0.9126,0.001
96,9.14,26.03,0.0,0.003051,0.009364,0.9091,0.001
98,9.385,26.36,0.0,0.002924,0.008823,0.9091,0.001
100,9.579,26.5,0.0,0.002818,0.008335,0.9069,0.001
102,9.646,26.25,0.0,0.00273,0.00793,0.9069,0.001
104,9.83,26.33,0.0,0.002658,0.007627,0.9069,0.001
106,9.979,26.3,0.0,0.002599,0.007433,0.9056,0.001
108,10.18,26.41,0.0,0.002556,0.007351,0.9056,0.001
110,10.26,26.16,0.0,0.002529,0.007377,0.9047,0.001
112,10.45,26.21,0.0,0.002521,0.007504,0.9047,0.001
114,10.68,26.33,0.0,0.002532,0.007723,0.9047,0.001
116,10.75,26.05,0.0,0.002563,0.00802,0.9035,0.001
118,10.94,26.04,0.0,0.00261,0.008388,0.9035,0.001
120,11.01,25.74,0.0,0.002671,0.008812,0.9013,0.001
122,11.23,25.81,0.0,0.002741,0.009283,0.9013,0.001
124,11.3,25.53,0.0,0.002817,0.009792,0.9013,0.001
126,11.53,25.6,0.0,0.002898,0.01033,0.8981,0.001
128,11.73,25.61,0.0,0.002979,0.01088,0.8981,0.001
130,11.76,25.25,0.0,0.003062,0.01145,0.8941,0.001
132,11.96,25.27,0.0,0.003143,0.01202,0.8941,0.001
134,12.11,25.17,0.0,0.003224,0.01259,0.8941,0.001
136,12.27,25.09,0.0,0.003303,0.01315,0.8898,0.001
138,12.37,24.91,0.0,0.00338,0.01372,0.8898,0.001
140,12.49,24.76,0.0,0.003453,0.01428,0.8856,0.001
142,12.56,24.53,0.0,0.003523,0.01484,0.8856,0.001
144,12.81,24.65,0.0,0.00359,0.01541,0.8856,0.001
146,13.04,24.75,0.0,0.003653,0.01597,0.8816,0.001
148,13.03,24.36,0.0,0.003713,0.01653,0.8816,0.001
150,13.15,24.25,0.0,0.00377,0.0171,0.8777,0.001
152,13.38,24.35,0.0,0.003825,0.01767,0.8777,0.001
154,13.27,23.79,0.0,0.003878,0.01824,0.8777,0.001
156,13.5,23.88,0.0,0.00393,0.01882,0.8737,0.001
158,13.65,23.84,0.0,0.003981,0.01942,0.8737,0.001
160,13.73,23.67,0.0,0.004032,0.02002,0.8694,0.001
162,13.94,23.73,0.0,0.004083,0.02065,0.8694,0.001
164,13.98,23.48,0.0,0.004134,0.02129,0.8694,0.001
166,14.13,23.44,0.0,0.004185,0.02194,0.8647,0.001
168,14.08,23.06,0.0,0.004236,0.02261,0.8647,0.001
170,14.41,23.33,0.0,0.004288,0.0233,0.8598,0.001
172,14.31,22.85,0.0,0.004342,0.02401,0.8598,0.001
174,14.56,22.99,0.0,0.004398,0.02476,0.8598,0.001
176,14.76,23.05,0.0,0.004456,0.02552,0.8545,0.001
178,14.65,22.57,0.0,0.004512,0.02629,0.8545,0.001
180,14.78,22.5,0.0,0.004568,0.02707,0.849,0.001
182,14.79,22.24,0.0,0.004624,0.02786,0.849,0.001
184,15.06,22.41,0.0,0.00468,0.02866,0.849,0.001
186,14.99,22.03,0.0,0.004732,0.02945,0.8434,0.001
188,15.13,22.0,0.0,0.004783,0.03024,0.8434,0.001
190,15.38,22.13,0.0,0.004832,0.03101,0.8376,0.001
192,15.3,21.76,0.0,0.004878,0.03177,0.8376,0.001
194,15.31,21.52,0.0,0.004922,0.03252,0.8376,0.001
196,15.65,21.8,0.0,0.004963,0.03326,0.8316,0.001
198,15.66,21.58,0.0,0.004999,0.03396,0.8316,0.001
200,15.78,21.52,0.0,0.005032,0.03462,0.8256,0.001
202,15.94,21.54,0.0,0.005062,0.03525,0.8256,0.001
204,15.76,21.04,0.0,0.005088,0.03585,0.8256,0.001
206,15.99,21.16,0.0,0.005114,0.03646,0.8196,0.001
208,15.88,20.79,0.0,0.005137,0.03705,0.8196,0.001
210,15.95,20.67,0.0,0.005162,0.03764,0.8136,0.001
212,16.0,20.53,0.0,0.005189,0.03824,0.8136,0.001
