it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,47.97,7.827,0.1337,0.1589,0.008276,1.18,0.001
10,16.28,2.605,0.0316,0.0518,0.1887,0.8715,0.001
20,12.68,1.169,0.01739,0.03974,0.2721,0.7166,0.001
30,10.08,0.3457,0.005583,0.0314,0.4491,0.6293,0.001
40,6.734,0.276,0.004153,0.02095,0.2248,0.5143,0.001
50,3.736,0.101,0.001142,0.01166,0.1367,0.3954,0.001
60,1.621,0.08569,0.000862,0.004981,0.04021,0.2713,0.001
70,0.8379,0.1337,0.002026,0.002334,0.002071,0.1921,0.001
80,0.5983,0.1478,0.002473,0.00148,0.003983,0.1563,0.001
90,0.4275,0.1054,0.001926,0.001059,0.002492,0.1382,0.001
100,0.3094,0.05127,0.001174,0.0008542,0.0007157,0.1369,0.001
110,0.2763,0.04485,0.0007349,0.0007669,0.0006068,0.1213,0.001
120,0.2449,0.0402,0.0005811,0.0006796,0.0002551,0.1116,0.001
130,0.2215,0.0359,0.000571,0.0006162,0.0001536,0.104,0.001
140,0.2962,0.05573,0.0007672,0.0007987,0.0001129,0.1169,0.001
150,0.2188,0.03493,0.0004919,0.000611,8.293e-05,0.1038,0.001
160,0.1993,0.02728,0.0004262,0.0005717,6.498e-05,0.09295,0.001
170,0.1808,0.02632,0.0003689,0.0005136,3.671e-05,0.09042,0.001
180,0.1681,0.02201,0.0003369,0.0004856,4.117e-05,0.08876,0.001
190,0.1569,0.02069,0.0002916,0.0004531,3.799e-05,0.08544,0.001
200,0.1472,0.01809,0.0003286,0.0004293,2.502e-05,0.08367,0.001
