it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,77.85,14.81,0.2154,0.2547,1.175,0.8789,0.001
10,25.36,5.006,0.06932,0.08367,0.01815,0.912,0.001
20,12.6,2.08,0.02382,0.04107,0.1167,0.7451,0.001
30,10.87,1.092,0.01251,0.03508,0.2198,0.6059,0.001
40,6.103,0.7174,0.005499,0.01973,0.08164,0.5026,0.001
50,2.754,0.2703,0.001261,0.008875,0.04534,0.336,0.001
60,0.9521,0.1493,0.001295,0.002983,0.02618,0.2369,0.001
70,0.5444,0.1687,0.003025,0.001589,0.02542,0.1934,0.001
80,0.3942,0.1512,0.002767,0.001135,0.01065,0.1694,0.001
90,0.2682,0.08968,0.00148,0.0007963,0.0009483,0.1549,0.001
100,0.2263,0.06468,0.0007966,0.0006796,9.165e-05,0.1464,0.001
110,0.1987,0.0564,0.0006524,0.0005902,0.0003357,0.1309,0.001
120,0.1835,0.0477,0.0005882,0.0005457,6.97e-05,0.1199,0.001
130,0.1716,0.03873,0.0005207,0.000514,3.282e-05,0.1143,0.001
140,0.1632,0.03362,0.0004434,0.0004901,2.977e-05,0.111,0.001
150,0.159,0.03532,0.0003732,0.0004699,3.141e-05,0.1069,0.001
160,0.1513,0.02956,0.0003387,0.0004505,2.592e-05,0.1023,0.001
170,0.1462,0.02834,0.0003125,0.0004327,1.957e-05,0.09855,0.001
180,0.1394,0.02386,0.0002631,0.000416,3.149e-05,0.09547,0.001
190,0.1355,0.02367,0.0002617,0.0004008,2.428e-05,0.09279,0.001
200,0.1291,0.02044,0.0002446,0.0003841,2.739e-05,0.09032,0.001
210,0.1255,0.02076,0.0001987,0.0003692,2.816e-05,0.08797,0.001
220,0.1195,0.01762,0.0001723,0.0003544,4.322e-05,0.08592,0.001
230,0.1157,0.01743,0.0001602,0.0003406,3.503e-05,0.08362,0.001
240,0.1116,0.01646,0.0001482,0.0003276,4.333e-05,0.08169,0.001
250,0.107,0.0148,0.0001364,0.0003149,4.043e-05,0.07978,0.001
260,0.1029,0.01398,0.0001187,0.0003019,5.105e-05,0.07795,0.001
270,0.09798,0.01195,0.0001016,0.0002902,5.1e-05,0.07619,0.001
280,0.09411,0.01094,8.964e-05,0.0002792,5.239e-05,0.07438,0.001
290,0.09051,0.01041,8.779e-05,0.0002677,5.549e-05,0.07266,0.001
300,0.08722,0.008981,9.057e-05,0.0002604,4.038e-05,0.07077,0.001
310,0.08606,0.01004,8.382e-05,0.000253,3.362e-05,0.0691,0.001
320,0.0805,0.008779,6.416e-05,0.0002387,6.21e-05,0.06737,0.001
330,0.07592,0.007751,5.918e-05,0.0002269,5.043e-05,0.06553,0.001
340,0.07324,0.007351,6.71e-05,0.0002193,3.934e-05,0.06395,0.001
350,0.06953,0.006744,5.467e-05,0.000209,4.503e-05,0.06233,0.001
360,0.06922,0.007032,5.215e-05,0.0002069,5.687e-05,0.06189,0.001
370,0.08362,0.0101,9.895e-05,0.0002445,8.201e-05,0.06178,0.001
380,0.06176,0.005636,4.917e-05,0.0001868,3.53e-05,0.05809,0.001
390,0.05966,0.00575,5.05e-05,0.0001794,2.876e-05,0.05687,0.001
400,0.05835,0.005212,3.925e-05,0.0001768,4.699e-05,0.05631,0.001
410,0.05522,0.005202,4.105e-05,0.0001665,2.851e-05,0.05447,0.001
420,0.06731,0.008754,0.0001192,0.0001948,4.574e-06,0.05706,0.001
430,0.05135,0.004618,2.548e-05,0.0001556,3.418e-05,0.05278,0.001
440,0.04838,0.003833,3.412e-05,0.0001482,3.821e-05,0.05083,0.001
450,0.04703,0.004161,3.249e-05,0.0001427,2.252e-05,0.04973,0.001
460,0.0449,0.003752,3.135e-05,0.000137,1.998e-05,0.04871,0.001
470,0.05465,0.005846,4.991e-05,0.0001624,4.328e-05,0.05526,0.001
480,0.2069,0.04241,0.0007271,0.0005457,6.339e-05,0.08169,0.001
490,0.05177,0.006759,8.343e-05,0.0001497,2.61e-05,0.04899,0.001
500,0.0641,0.008321,8.463e-05,0.0001855,4.021e-05,0.04791,0.001
510,0.04418,0.004926,6.529e-05,0.0001306,5.815e-06,0.0469,0.001
520,0.03786,0.003444,3.128e-05,0.0001146,1.51e-05,0.04427,0.001
530,0.03761,0.003413,2.913e-05,0.0001138,1.602e-05,0.04382,0.001
540,0.03541,0.002971,3.015e-05,0.000108,2.044e-05,0.04252,0.001
550,0.03483,0.003352,2.8e-05,0.0001048,1.449e-05,0.04187,0.001
560,0.03369,0.003197,3.148e-05,0.0001015,1.085e-05,0.04125,0.001
570,0.0325,0.002821,3.122e-05,9.881e-05,8.96e-06,0.04072,0.001
580,0.0322,0.003238,3.363e-05,9.64e-05,7.601e-06,0.04009,0.001
590,0.03117,0.002946,2.865e-05,9.396e-05,8.057e-06,0.03966,0.001
600,0.03043,0.002827,2.652e-05,9.189e-05,8.088e-06,0.03922,0.001
