it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,1164.0,151.3,2.353,2.094,533.2,4.854,0.001
10,554.1,91.85,1.391,1.242,176.9,3.709,0.001
20,227.5,42.99,0.6803,0.6202,37.95,2.592,0.001
30,89.14,19.04,0.2793,0.274,4.746,1.699,0.001
40,34.68,6.122,0.09364,0.1122,0.1036,1.07,0.001
50,16.41,2.21,0.02978,0.05292,0.1321,0.7278,0.001
60,11.82,1.374,0.01643,0.03746,0.2927,0.6153,0.001
70,10.69,0.9011,0.01508,0.03381,0.3239,0.5866,0.001
80,9.82,0.9078,0.01369,0.03083,0.3163,0.5593,0.001
90,8.818,0.9192,0.01127,0.02744,0.2988,0.5266,0.001
100,7.855,0.7492,0.00889,0.02439,0.2809,0.4959,0.001
110,7.033,0.6225,0.007141,0.02179,0.2618,0.4683,0.001
120,6.292,0.5132,0.005766,0.01946,0.2419,0.4425,0.001
130,5.634,0.4871,0.004779,0.01732,0.2222,0.4173,0.001
140,5.005,0.4154,0.003865,0.01535,0.2031,0.393,0.001
150,4.422,0.3384,0.003143,0.01355,0.1846,0.3699,0.001
160,3.901,0.2974,0.00252,0.01192,0.1639,0.3481,0.001
170,3.424,0.2528,0.001937,0.01045,0.1445,0.3278,0.001
180,2.991,0.2103,0.001508,0.009127,0.1257,0.3088,0.001
190,2.613,0.1888,0.001121,0.007948,0.1082,0.2915,0.001
200,2.279,0.1726,0.0008485,0.006905,0.09204,0.2756,0.001
210,1.978,0.1489,0.0006386,0.005987,0.0771,0.2621,0.001
220,1.714,0.1273,0.0004665,0.005188,0.0639,0.2501,0.001
230,1.498,0.1251,0.0003779,0.004498,0.05198,0.2399,0.001
240,1.309,0.1182,0.0003248,0.003908,0.04194,0.2317,0.001
250,1.144,0.1058,0.0003047,0.003407,0.03381,0.2248,0.001
260,1.013,0.1039,0.0002829,0.002987,0.02673,0.2195,0.001
270,0.9023,0.1007,0.0002975,0.002634,0.02114,0.2158,0.001
280,0.8086,0.09478,0.0003569,0.002343,0.0169,0.2126,0.001
290,0.7445,0.1034,0.0004234,0.002102,0.01361,0.2106,0.001
300,0.694,0.1107,0.0004521,0.001906,0.01107,0.2086,0.001
310,0.6387,0.1062,0.000507,0.001742,0.009409,0.2075,0.001
320,0.6,0.1088,0.000584,0.001608,0.008134,0.2069,0.001
330,0.5673,0.1094,0.0006179,0.0015,0.007255,0.2055,0.001
340,0.5358,0.1053,0.0006345,0.001411,0.006644,0.2052,0.001
350,0.5131,0.1059,0.0007057,0.001334,0.006276,0.2039,0.001
360,0.4901,0.102,0.0007198,0.001271,0.005991,0.2032,0.001
370,0.4734,0.1018,0.0007568,0.001217,0.005795,0.2022,0.001
