it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,107.2,1.797,0.4255,0.3558,0.01967,1.071,0.001
10,22.84,0.4494,0.05528,0.07468,0.3682,0.5876,0.001
20,17.84,0.7244,0.1205,0.05884,0.01862,0.6433,0.001
30,16.76,0.575,0.09587,0.05526,0.03067,0.6201,0.001
40,15.07,0.4269,0.07296,0.04952,0.07923,0.5525,0.001
50,13.52,0.3417,0.06202,0.04445,0.0685,0.5051,0.001
60,11.14,0.2739,0.05118,0.03658,0.06122,0.4585,0.001
70,8.391,0.2201,0.04051,0.02756,0.0322,0.3991,0.001
80,5.455,0.1361,0.02389,0.01789,0.02847,0.3077,0.001
90,2.966,0.07798,0.0123,0.00972,0.01397,0.2183,0.001
100,1.489,0.03757,0.006068,0.004885,0.004373,0.1407,0.001
110,0.9117,0.02301,0.003223,0.002997,0.0007698,0.09242,0.001
120,0.6207,0.02211,0.001938,0.002033,9.249e-05,0.06666,0.001
130,0.3684,0.01622,0.0007685,0.001202,1.285e-05,0.05073,0.001
140,0.2097,0.01316,0.0002187,0.0006775,9.96e-05,0.05009,0.001
150,0.127,0.01243,0.0001,0.0004018,0.0001136,0.05276,0.001
160,0.08428,0.01351,0.0001428,0.0002562,7.031e-05,0.05308,0.001
170,0.06398,0.01294,0.000222,0.0001879,5.138e-05,0.05316,0.001
180,0.05663,0.01335,0.0003452,0.0001607,4.712e-05,0.05389,0.001
190,0.0539,0.01331,0.0004016,0.0001501,2.928e-05,0.05449,0.001
200,0.05434,0.01534,0.0004128,0.0001456,2.565e-05,0.05432,0.001
210,0.0523,0.01277,0.0004578,0.0001429,2.895e-05,0.05334,0.001
220,0.05159,0.01206,0.0004907,0.0001408,1.873e-05,0.05193,0.001
230,0.05104,0.01158,0.0004743,0.0001389,7.972e-06,0.05048,0.001
240,0.04994,0.01033,0.0004934,0.0001373,7.899e-06,0.049,0.001
250,0.04942,0.009849,0.0004845,0.0001357,7.446e-06,0.04768,0.001
260,0.049,0.009498,0.0004657,0.0001343,5.437e-06,0.04653,0.001
270,0.04837,0.0089,0.0004786,0.0001329,4.788e-06,0.0453,0.001
280,0.04831,0.008995,0.0004555,0.0001315,4.35e-06,0.04413,0.001
290,0.04696,0.007748,0.0004442,0.0001301,4.974e-06,0.043,0.001
300,0.04704,0.008001,0.0004299,0.0001287,2.872e-06,0.04188,0.001
310,0.04578,0.007169,0.0004223,0.0001273,2.457e-06,0.04085,0.001
320,0.04611,0.007915,0.0004103,0.000126,2.345e-06,0.0398,0.001
330,0.04444,0.006661,0.0004021,0.0001246,1.819e-06,0.03882,0.001
340,0.04385,0.006494,0.0003869,0.0001232,2.17e-06,0.03784,0.001
350,0.04313,0.006186,0.0003859,0.0001219,1.092e-06,0.03692,0.001
360,0.04225,0.005666,0.0003737,0.0001207,1.856e-06,0.03604,0.001
370,0.0415,0.005392,0.0003534,0.0001192,1.352e-06,0.03511,0.001
380,0.04141,0.00569,0.0003392,0.0001179,1.162e-06,0.03434,0.001
390,0.04097,0.00564,0.0003289,0.0001167,1.468e-06,0.03351,0.001
400,0.0403,0.005326,0.0003263,0.0001155,1.224e-06,0.03272,0.001
410,0.03901,0.004451,0.000311,0.0001142,1.734e-06,0.03199,0.001
420,0.03853,0.004308,0.0003101,0.000113,1.036e-06,0.03125,0.001
430,0.03829,0.004461,0.0002948,0.0001118,1.53e-06,0.03056,0.001
440,0.0374,0.003925,0.0002855,0.0001106,1.588e-06,0.02992,0.001
450,0.03745,0.004317,0.0002752,0.0001095,1.127e-06,0.02929,0.001
460,0.03608,0.003305,0.0002669,0.0001083,7.921e-07,0.0287,0.001
470,0.03586,0.00339,0.0002678,0.0001073,8.197e-07,0.02819,0.001
480,0.03561,0.003465,0.000266,0.0001063,1.181e-06,0.0277,0.001
490,0.03526,0.003478,0.0002505,0.0001051,9.201e-07,0.02717,0.001
500,0.0346,0.003089,0.0002421,0.0001042,1.196e-06,0.02676,0.001
510,0.0343,0.003159,0.0002408,0.000103,1.643e-06,0.02632,0.001
520,0.03401,0.003127,0.0002378,0.0001022,2.871e-07,0.02589,0.001
530,0.03349,0.002919,0.0002306,0.0001011,8.106e-07,0.02548,0.001
540,0.03335,0.003039,0.0002312,0.0001003,5.956e-07,0.02522,0.001
550,0.03317,0.003063,0.0002178,9.962e-05,1.035e-06,0.02492,0.001
560,0.03238,0.002565,0.0002266,9.864e-05,6.349e-07,0.02458,0.001
570,0.0323,0.002945,0.0002123,9.713e-05,5.923e-07,0.0242,0.001
580,0.03174,0.002651,0.0002131,9.625e-05,9.933e-07,0.02392,0.001
590,0.0322,0.002682,0.000228,9.764e-05,1.637e-07,0.02408,0.001
600,0.03987,0.002681,0.000312,0.0001229,5.254e-08,0.0271,0.001
610,0.03376,0.003105,0.000191,0.0001016,1.384e-06,0.02473,0.001
620,0.03116,0.002507,0.0002177,9.477e-05,9.07e-07,0.02343,0.001
630,0.03033,0.002499,0.0001898,9.213e-05,4.738e-07,0.0229,0.001
640,0.03067,0.002694,0.000183,9.263e-05,1.208e-06,0.02278,0.001
650,0.02969,0.002503,0.0001879,8.999e-05,9.444e-07,0.02244,0.001
660,0.02965,0.002407,0.0001952,9.015e-05,5.075e-08,0.02246,0.001
670,0.03805,0.002272,0.0002917,0.0001183,6.273e-08,0.02761,0.001
680,0.03007,0.002448,0.0001717,9.15e-05,1.874e-06,0.02597,0.001
690,0.03676,0.002146,0.000273,0.0001145,3.712e-07,0.02363,0.001
700,0.02928,0.002178,0.0001991,8.968e-05,6.58e-07,0.02295,0.001
710,0.02893,0.002404,0.0001628,8.786e-05,7.308e-07,0.02171,0.001
720,0.02793,0.002301,0.0001659,8.489e-05,8.988e-07,0.0216,0.001
730,0.02757,0.002091,0.0001742,8.435e-05,2.627e-07,0.02143,0.001
740,0.02751,0.002303,0.0001608,8.35e-05,4.819e-07,0.0213,0.001
750,0.02702,0.002085,0.0001687,8.255e-05,3.044e-07,0.02121,0.001
760,0.02664,0.002055,0.0001599,8.143e-05,3.817e-07,0.02106,0.001
770,0.02651,0.002091,0.0001604,8.087e-05,2.909e-07,0.02099,0.001
780,0.02657,0.001867,0.0001711,8.179e-05,2.907e-07,0.02119,0.001
790,0.03955,0.002184,0.0002947,0.0001236,1.046e-07,0.0284,0.001
800,0.02838,0.001981,0.0001885,8.737e-05,2.999e-08,0.02068,0.001
810,0.02784,0.002007,0.0001843,8.549e-05,3.727e-07,0.02329,0.001
820,0.02895,0.002275,0.0001444,8.842e-05,7.926e-07,0.02181,0.001
