it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,84.01,1.09,0.2976,0.2787,0.1071,1.04,0.001
10,26.44,0.4668,0.1038,0.08663,0.3328,0.7054,0.001
20,17.97,0.5839,0.115,0.05936,0.004691,0.5987,0.001
30,13.85,0.2496,0.05692,0.04543,0.1374,0.5243,0.001
40,9.585,0.1784,0.04162,0.0314,0.09932,0.4231,0.001
50,5.343,0.1794,0.03707,0.01756,0.006642,0.3358,0.001
60,2.091,0.09213,0.01416,0.006828,0.01041,0.1888,0.001
70,0.8567,0.07057,0.005745,0.002761,0.00605,0.14,0.001
80,0.6375,0.0589,0.001639,0.002065,0.0007209,0.1059,0.001
90,0.3802,0.03663,0.001148,0.001227,0.0001012,0.09773,0.001
100,0.237,0.03134,0.001312,0.000748,0.0008258,0.0929,0.001
110,0.1741,0.02197,0.001159,0.0005485,0.0003229,0.08834,0.001
120,0.1216,0.02003,0.0007533,0.0003761,5.721e-05,0.078,0.001
130,0.09012,0.01931,0.0004224,0.0002711,5.497e-06,0.06952,0.001
140,0.07066,0.01617,0.0002976,0.0002093,2.212e-05,0.06492,0.001
150,0.05971,0.01565,0.0003262,0.0001716,6.213e-05,0.06273,0.001
160,0.05418,0.017,0.000365,0.000149,4.141e-05,0.06125,0.001
170,0.04923,0.01499,0.0003504,0.0001346,1.773e-05,0.06,0.001
180,0.04645,0.01388,0.0003961,0.0001257,1.971e-05,0.0589,0.001
190,0.04508,0.01369,0.0003865,0.00012,2.598e-05,0.05795,0.001
200,0.04346,0.01242,0.0003535,0.000116,2.278e-05,0.05681,0.001
210,0.04313,0.01261,0.0003728,0.000113,1.534e-05,0.05561,0.001
220,0.04265,0.01232,0.0003876,0.0001107,1.455e-05,0.05454,0.001
230,0.04138,0.01089,0.000396,0.0001087,1.603e-05,0.0534,0.001
240,0.04184,0.01171,0.000376,0.0001069,1.615e-05,0.05224,0.001
250,0.04045,0.01018,0.0003586,0.0001053,8.806e-06,0.05107,0.001
260,0.03988,0.009594,0.0003923,0.0001039,1.178e-05,0.05007,0.001
270,0.03962,0.009431,0.00036,0.0001026,1.016e-05,0.04895,0.001
280,0.03947,0.009352,0.0003538,0.0001013,4.586e-06,0.04771,0.001
290,0.03905,0.008939,0.0003535,0.0001001,7.592e-06,0.04672,0.001
300,0.03903,0.008969,0.0003479,9.903e-05,6.668e-06,0.04567,0.001
310,0.03801,0.008276,0.00031,9.805e-05,4.508e-06,0.04451,0.001
320,0.03644,0.007031,0.0003135,9.697e-05,4.429e-06,0.04341,0.001
330,0.03617,0.007062,0.0003012,9.6e-05,5.109e-06,0.04245,0.001
340,0.03589,0.00707,0.0002889,9.509e-05,4.212e-06,0.04145,0.001
350,0.03573,0.00717,0.0002704,9.428e-05,4.53e-06,0.0405,0.001
360,0.03439,0.006046,0.0002868,9.351e-05,4.094e-06,0.03963,0.001
370,0.0333,0.005226,0.0002677,9.269e-05,2.777e-06,0.03879,0.001
380,0.03326,0.005395,0.0002702,9.197e-05,3.113e-06,0.03806,0.001
390,0.03289,0.005242,0.0002586,9.129e-05,3.111e-06,0.03733,0.001
400,0.03246,0.005004,0.0002563,9.064e-05,2.863e-06,0.03661,0.001
410,0.03228,0.005047,0.000249,8.995e-05,2.501e-06,0.03586,0.001
420,0.03158,0.004518,0.0002509,8.936e-05,2.803e-06,0.03534,0.001
430,0.03191,0.00505,0.0002381,8.872e-05,2.074e-06,0.03467,0.001
440,0.03143,0.004769,0.0002357,8.809e-05,1.737e-06,0.03413,0.001
450,0.03107,0.004568,0.0002325,8.755e-05,3.972e-06,0.03348,0.001
460,0.03058,0.004243,0.0002274,8.701e-05,2.231e-06,0.033,0.001
470,0.0305,0.00437,0.0002278,8.632e-05,1.605e-06,0.03256,0.001
480,0.02955,0.003603,0.0002216,8.574e-05,2.937e-06,0.03204,0.001
490,0.02958,0.003769,0.0002261,8.527e-05,2.381e-06,0.03152,0.001
500,0.02947,0.003868,0.0002149,8.462e-05,1.982e-06,0.0312,0.001
510,0.02913,0.003696,0.000214,8.405e-05,1.964e-06,0.03069,0.001
520,0.02938,0.00412,0.000211,8.35e-05,1.027e-06,0.03036,0.001
530,0.02878,0.003681,0.0002037,8.297e-05,1.364e-06,0.02999,0.001
540,0.02854,0.003624,0.0002002,8.239e-05,1.628e-06,0.02963,0.001
550,0.02813,0.003375,0.0001957,8.186e-05,1.705e-06,0.02924,0.001
560,0.028,0.003412,0.0001961,8.129e-05,1.971e-06,0.02884,0.001
570,0.02759,0.003165,0.0001944,8.075e-05,1.126e-06,0.02851,0.001
580,0.02736,0.003079,0.0001914,8.029e-05,1.882e-06,0.02835,0.001
590,0.02705,0.002966,0.0001898,7.964e-05,1.299e-06,0.02801,0.001
