it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,76.7,1.576,0.4608,0.3793,0.07606,1.146,0.001
10,17.53,0.1778,0.0775,0.07791,0.3734,0.6385,0.001
20,13.51,0.4639,0.1436,0.06621,0.01796,0.6714,0.001
30,11.69,0.229,0.09376,0.05661,0.0513,0.5975,0.001
40,11.08,0.2164,0.07736,0.0525,0.09396,0.582,0.001
50,9.751,0.2521,0.08005,0.04737,0.03111,0.5588,0.001
60,8.116,0.2168,0.06389,0.03928,0.03079,0.5032,0.001
70,6.187,0.1597,0.04308,0.02968,0.03414,0.4352,0.001
80,4.056,0.1046,0.02683,0.0195,0.02023,0.343,0.001
90,2.188,0.05758,0.01165,0.01047,0.01302,0.2404,0.001
100,1.02,0.03657,0.003844,0.004896,0.00496,0.1507,0.001
110,0.5696,0.03809,0.001767,0.002735,0.00136,0.1067,0.001
120,0.4004,0.04048,0.001467,0.001908,0.0002027,0.08717,0.001
130,0.2578,0.03361,0.0009557,0.001211,6.18e-06,0.07175,0.001
140,0.1559,0.02373,0.00054,0.0007203,4.816e-05,0.05655,0.001
150,0.1011,0.01827,0.0004421,0.0004562,5.001e-05,0.05129,0.001
160,0.07261,0.01639,0.0005827,0.0003145,7.71e-05,0.05174,0.001
170,0.05895,0.0176,0.000801,0.0002395,5.394e-05,0.05418,0.001
180,0.05087,0.01522,0.0009111,0.0002038,1.405e-05,0.05704,0.001
190,0.04894,0.01644,0.0009927,0.0001876,3.274e-06,0.05913,0.001
200,0.04856,0.0174,0.0009734,0.0001799,2.846e-06,0.06044,0.001
210,0.04694,0.01542,0.001019,0.0001755,3.71e-06,0.06107,0.001
220,0.04647,0.01499,0.000975,0.0001724,3.529e-06,0.06112,0.001
230,0.04592,0.01428,0.001012,0.0001697,2.986e-06,0.06074,0.001
240,0.046,0.01448,0.0009592,0.0001672,2.456e-06,0.06028,0.001
250,0.04569,0.01407,0.0009808,0.0001649,2.535e-06,0.05946,0.001
260,0.04693,0.01558,0.000893,0.0001626,1.831e-06,0.05879,0.001
270,0.0444,0.01266,0.0009139,0.0001604,1.456e-06,0.05804,0.001
280,0.04459,0.01297,0.0008306,0.0001582,1.581e-06,0.05734,0.001
290,0.04631,0.01478,0.000815,0.000156,1.706e-06,0.0566,0.001
300,0.04344,0.01183,0.0008048,0.000154,1.816e-06,0.0559,0.001
310,0.04354,0.01239,0.0007713,0.0001519,1.22e-06,0.05538,0.001
320,0.04168,0.01094,0.0007807,0.0001498,8.709e-07,0.05446,0.001
330,0.04125,0.01099,0.0007135,0.0001477,9.737e-07,0.05378,0.001
340,0.04102,0.01123,0.0006851,0.0001455,9.773e-07,0.05322,0.001
