it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,62.43,1.183,0.2746,0.3103,0.01774,1.08,0.001
10,17.15,0.2374,0.05658,0.07603,0.3753,0.713,0.001
20,15.51,0.5668,0.1645,0.07635,0.007701,0.6448,0.001
30,11.63,0.2026,0.07822,0.05521,0.09885,0.5622,0.001
40,10.06,0.2373,0.07141,0.04819,0.06382,0.5345,0.001
50,7.61,0.2743,0.06838,0.0368,0.02693,0.4781,0.001
60,4.622,0.1607,0.03687,0.02195,0.03285,0.3491,0.001
70,1.937,0.109,0.019,0.009132,0.01322,0.2187,0.001
80,0.5496,0.04922,0.003979,0.002543,0.004798,0.1056,0.001
90,0.2497,0.03674,0.0005102,0.001157,0.001347,0.1091,0.001
100,0.1968,0.04153,0.0004108,0.0009049,0.0003093,0.1152,0.001
110,0.1196,0.03019,0.0004772,0.0005282,0.0004774,0.09669,0.001
120,0.07293,0.02183,0.0004089,0.0003128,0.0002459,0.07147,0.001
130,0.05499,0.01638,0.0002853,0.0002373,2.753e-05,0.06119,0.001
140,0.04461,0.01524,0.000342,0.0001841,6.814e-05,0.06126,0.001
150,0.03854,0.01394,0.0003895,0.0001556,1.202e-05,0.06169,0.001
160,0.03627,0.01402,0.0004766,0.0001415,1.513e-06,0.06035,0.001
170,0.03409,0.0126,0.0004393,0.0001325,1.8e-06,0.05764,0.001
180,0.03303,0.01194,0.0004529,0.000127,3.347e-07,0.05541,0.001
190,0.03225,0.0114,0.0004369,0.0001229,9.611e-07,0.05386,0.001
200,0.03147,0.01079,0.0004213,0.0001193,9.868e-07,0.05214,0.001
210,0.03062,0.009935,0.0004168,0.0001162,3.222e-07,0.05035,0.001
220,0.02922,0.008487,0.0003925,0.000113,4.043e-07,0.04843,0.001
230,0.02878,0.008278,0.0003718,0.0001103,4.637e-07,0.04677,0.001
240,0.02808,0.007769,0.0003307,0.0001076,4.726e-07,0.04491,0.001
250,0.02732,0.00716,0.0003112,0.0001052,5.251e-07,0.04351,0.001
260,0.02654,0.006531,0.000298,0.0001029,4.807e-07,0.04173,0.001
270,0.02621,0.006453,0.000301,0.0001005,5.288e-07,0.0402,0.001
280,0.02528,0.005708,0.0002624,9.843e-05,5.226e-07,0.03879,0.001
290,0.02487,0.005469,0.0002604,9.66e-05,4.025e-07,0.03748,0.001
300,0.02475,0.005595,0.0002397,9.456e-05,3.911e-07,0.0362,0.001
