it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,183.6,4.569,1.236,0.753,6.347,1.741,0.001
10,39.45,1.256,0.3095,0.1953,0.006069,1.09,0.001
20,14.65,0.5537,0.1336,0.07204,0.01439,0.6712,0.001
30,10.74,0.3263,0.08209,0.05163,0.05929,0.5494,0.001
40,10.5,0.2553,0.06937,0.0495,0.09856,0.5372,0.001
50,8.578,0.3198,0.07105,0.04176,0.02044,0.5137,0.001
60,6.778,0.2877,0.05609,0.03273,0.02366,0.4604,0.001
70,4.99,0.2289,0.03559,0.02378,0.02902,0.3936,0.001
80,3.175,0.161,0.02433,0.01512,0.01662,0.3249,0.001
90,1.589,0.09364,0.01051,0.007455,0.01196,0.2328,0.001
100,0.5418,0.04825,0.003609,0.002497,0.004539,0.1559,0.001
110,0.1264,0.03173,0.000759,0.0005409,0.001167,0.1027,0.001
120,0.0672,0.02332,0.001024,0.000281,0.0001284,0.08681,0.001
130,0.06723,0.02368,0.001061,0.0002757,0.0001526,0.08164,0.001
140,0.05328,0.0225,0.0008326,0.0002045,0.0002103,0.07572,0.001
150,0.04262,0.01763,0.0005641,0.0001641,8.451e-05,0.07131,0.001
160,0.04067,0.01732,0.0004452,0.0001548,5.741e-06,0.06882,0.001
170,0.04028,0.0171,0.0004101,0.0001507,6.031e-06,0.06654,0.001
180,0.03893,0.01536,0.0004053,0.0001465,2.818e-06,0.06464,0.001
190,0.0391,0.01576,0.0004038,0.0001436,1.22e-06,0.06291,0.001
200,0.03934,0.01589,0.000414,0.0001416,3.887e-06,0.06159,0.001
210,0.03889,0.01491,0.0003921,0.0001402,4.413e-06,0.0606,0.001
220,0.0397,0.01571,0.0003845,0.0001389,2.766e-06,0.05969,0.001
230,0.03825,0.01339,0.0003902,0.0001379,2.632e-06,0.05902,0.001
240,0.03845,0.01342,0.000371,0.0001367,1.805e-06,0.05822,0.001
250,0.03848,0.0132,0.0003638,0.0001355,2.52e-06,0.05754,0.001
260,0.03794,0.01238,0.0003509,0.0001342,2.986e-06,0.05675,0.001
270,0.038,0.01224,0.0003414,0.0001332,2.762e-06,0.05603,0.001
280,0.03753,0.01156,0.0003269,0.000132,2.127e-06,0.05543,0.001
290,0.03757,0.01145,0.000326,0.0001308,2.562e-06,0.0544,0.001
300,0.03729,0.01098,0.0003177,0.0001299,3.2e-06,0.0537,0.001
310,0.03784,0.01176,0.0003199,0.0001287,2.098e-06,0.05304,0.001
320,0.03642,0.01059,0.0003063,0.0001276,1.931e-06,0.0523,0.001
