it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,33.7,0.4671,0.01843,0.1507,0.7056,0.7467,0.001
2,27.75,0.282,0.01639,0.1207,0.7192,0.7151,0.001
3,23.31,0.1873,0.01672,0.09882,0.7047,0.6889,0.001
4,20.2,0.133,0.01889,0.0842,0.6674,0.6673,0.001
5,18.19,0.1251,0.02266,0.07553,0.6109,0.6495,0.001
6,16.95,0.1487,0.02756,0.07104,0.5405,0.6339,0.001
7,16.11,0.1857,0.03323,0.06874,0.4632,0.6195,0.001
8,15.39,0.2452,0.03884,0.06701,0.3857,0.6055,0.001
9,14.6,0.2789,0.04416,0.06484,0.3128,0.5917,0.001
10,13.69,0.3039,0.04893,0.06188,0.2471,0.5779,0.001
11,12.68,0.3123,0.05308,0.05827,0.1897,0.5646,0.001
12,11.67,0.3333,0.05593,0.0544,0.141,0.5519,0.001
13,10.75,0.3419,0.05805,0.05074,0.1007,0.5402,0.001
14,9.972,0.3727,0.05906,0.04763,0.06871,0.5293,0.001
15,9.371,0.3896,0.05944,0.0452,0.04459,0.5188,0.001
16,8.924,0.3957,0.05867,0.04337,0.0276,0.5083,0.001
17,8.572,0.3841,0.05631,0.04189,0.01661,0.497,0.001
18,8.252,0.4023,0.05376,0.04043,0.01018,0.4844,0.001
19,7.894,0.4063,0.04993,0.03873,0.006866,0.4702,0.001
20,7.46,0.3634,0.04551,0.03663,0.005491,0.4544,0.001
21,6.963,0.376,0.04079,0.03415,0.005348,0.4373,0.001
22,6.41,0.3588,0.03616,0.03139,0.006159,0.4194,0.001
23,5.835,0.3262,0.03209,0.0285,0.007916,0.401,0.001
24,5.273,0.2992,0.02803,0.02566,0.01068,0.3828,0.001
25,4.752,0.2825,0.02486,0.02298,0.01445,0.3651,0.001
26,4.288,0.2649,0.02219,0.02057,0.01901,0.3481,0.001
27,3.893,0.2466,0.01995,0.01849,0.02403,0.3321,0.001
28,3.565,0.234,0.01845,0.01673,0.02904,0.317,0.001
29,3.289,0.2095,0.01724,0.01527,0.03355,0.3025,0.001
30,3.057,0.2189,0.01636,0.014,0.03714,0.2883,0.001
31,2.837,0.2167,0.01545,0.01284,0.03948,0.2743,0.001
32,2.612,0.2018,0.01467,0.01171,0.04037,0.2603,0.001
33,2.385,0.2053,0.01368,0.01058,0.03974,0.2464,0.001
34,2.152,0.206,0.01273,0.009464,0.03765,0.233,0.001
35,1.922,0.2023,0.01163,0.008397,0.03429,0.2203,0.001
36,1.709,0.2127,0.01066,0.007424,0.02996,0.2087,0.001
37,1.519,0.2244,0.009805,0.006575,0.02503,0.1984,0.001
38,1.354,0.2319,0.008915,0.005861,0.01993,0.1898,0.001
39,1.215,0.2375,0.008133,0.005273,0.01506,0.1827,0.001
40,1.094,0.2264,0.007526,0.004784,0.01077,0.177,0.001
41,0.9982,0.2398,0.006973,0.004364,0.007317,0.1726,0.001
42,0.9143,0.2482,0.006612,0.003984,0.004814,0.1691,0.001
43,0.8369,0.2491,0.006354,0.003625,0.003262,0.1662,0.001
44,0.764,0.2449,0.006092,0.003277,0.002545,0.1636,0.001
45,0.6958,0.24,0.005836,0.002938,0.002469,0.1611,0.001
46,0.635,0.2419,0.005704,0.002613,0.002796,0.1585,0.001
47,0.5754,0.2339,0.005609,0.002309,0.003296,0.1557,0.001
48,0.5229,0.2298,0.005566,0.002033,0.00377,0.1528,0.001
49,0.4721,0.2161,0.005462,0.00179,0.004083,0.1496,0.001
50,0.433,0.2175,0.005339,0.001581,0.004168,0.1462,0.001
51,0.3966,0.213,0.005203,0.001404,0.004016,0.1427,0.001
52,0.3613,0.2009,0.005004,0.001255,0.00367,0.139,0.001
53,0.33,0.19,0.004824,0.001126,0.003198,0.1352,0.001
54,0.2984,0.173,0.004526,0.001013,0.002676,0.1314,0.001
55,0.2753,0.1702,0.004245,0.0009109,0.002167,0.1274,0.001
56,0.2496,0.1576,0.003938,0.0008177,0.001715,0.1235,0.001
57,0.2314,0.1565,0.003623,0.0007338,0.001345,0.1197,0.001
58,0.214,0.1515,0.00334,0.0006607,0.001058,0.1162,0.001
59,0.1916,0.1305,0.003105,0.0006004,0.0008427,0.1131,0.001
60,0.1829,0.1314,0.002909,0.0005542,0.0006829,0.1105,0.001
61,0.1717,0.1216,0.002746,0.0005216,0.0005609,0.1084,0.001
62,0.1622,0.1103,0.002659,0.000501,0.0004642,0.107,0.001
63,0.1652,0.1196,0.002587,0.0004893,0.0003857,0.1062,0.001
64,0.1501,0.09251,0.002576,0.0004828,0.0003219,0.1059,0.001
65,0.1515,0.09596,0.002564,0.0004779,0.0002732,0.106,0.001
66,0.152,0.09781,0.002584,0.0004721,0.0002391,0.1064,0.001
67,0.1414,0.08061,0.002563,0.0004637,0.0002177,0.107,0.001
68,0.139,0.07936,0.002543,0.0004525,0.0002065,0.1076,0.001
69,0.1369,0.07926,0.002509,0.0004391,0.0002008,0.1082,0.001
70,0.135,0.08003,0.002426,0.0004247,0.0001956,0.1088,0.001
71,0.127,0.07028,0.002364,0.0004107,0.000187,0.1093,0.001
72,0.1247,0.06988,0.002266,0.0003982,0.0001732,0.1096,0.001
73,0.1185,0.06271,0.002157,0.0003874,0.0001535,0.1097,0.001
74,0.1174,0.06338,0.002035,0.000378,0.0001296,0.1096,0.001
75,0.112,0.05705,0.001928,0.0003694,0.0001036,0.1093,0.001
76,0.109,0.05476,0.001807,0.0003605,7.843e-05,0.1088,0.001
77,0.1093,0.05804,0.001722,0.0003503,5.633e-05,0.108,0.001
78,0.1065,0.05693,0.001648,0.0003385,3.878e-05,0.1071,0.001
79,0.1006,0.05142,0.001566,0.000325,2.649e-05,0.1062,0.001
80,0.1009,0.05574,0.001493,0.0003106,1.951e-05,0.1052,0.001
81,0.09705,0.05383,0.001427,0.0002961,1.702e-05,0.1043,0.001
82,0.09471,0.05381,0.001376,0.0002824,1.802e-05,0.1035,0.001
83,0.09073,0.05094,0.001327,0.0002703,2.142e-05,0.1029,0.001
84,0.08904,0.05084,0.001289,0.0002602,2.642e-05,0.1025,0.001
85,0.08553,0.04763,0.001246,0.0002519,3.231e-05,0.1023,0.001
86,0.08374,0.04646,0.001199,0.0002452,3.877e-05,0.1023,0.001
87,0.0811,0.04388,0.001162,0.0002395,4.553e-05,0.1023,0.001
88,0.08596,0.05144,0.001129,0.0002343,5.264e-05,0.1025,0.001
89,0.08156,0.04629,0.0011,0.0002291,5.971e-05,0.1026,0.001
90,0.08583,0.05285,0.001062,0.000224,6.699e-05,0.1028,0.001
91,0.08271,0.0495,0.001028,0.0002189,7.371e-05,0.103,0.001
92,0.08115,0.04822,0.0009997,0.0002139,7.957e-05,0.1031,0.001
93,0.08158,0.04942,0.0009757,0.0002094,8.404e-05,0.1031,0.001
94,0.07896,0.04658,0.0009542,0.0002055,8.685e-05,0.1031,0.001
95,0.0797,0.0479,0.0009374,0.000202,8.755e-05,0.1031,0.001
96,0.07916,0.04748,0.0009267,0.0001991,8.607e-05,0.103,0.001
97,0.08024,0.04901,0.0009207,0.0001965,8.255e-05,0.1029,0.001
98,0.08066,0.04966,0.0009106,0.000194,7.814e-05,0.1027,0.001
99,0.08021,0.04925,0.0009061,0.0001916,7.297e-05,0.1025,0.001
100,0.07784,0.04655,0.0008989,0.0001891,6.739e-05,0.1024,0.001
101,0.07849,0.04749,0.0008945,0.0001866,6.195e-05,0.1022,0.001
102,0.07881,0.04803,0.0008897,0.0001841,5.711e-05,0.1021,0.001
103,0.07624,0.04517,0.0008909,0.0001816,5.297e-05,0.102,0.001
104,0.08008,0.04974,0.0008866,0.0001792,4.976e-05,0.1019,0.001
105,0.07573,0.04486,0.0008896,0.0001768,4.752e-05,0.1019,0.001
106,0.07672,0.04609,0.0008888,0.0001744,4.641e-05,0.1019,0.001
107,0.07364,0.04274,0.0008923,0.000172,4.632e-05,0.1019,0.001
108,0.07936,0.04924,0.0008872,0.0001696,4.742e-05,0.102,0.001
109,0.07953,0.04951,0.0008927,0.0001671,4.924e-05,0.102,0.001
110,0.07845,0.04841,0.000895,0.0001646,5.156e-05,0.1021,0.001
111,0.07363,0.04328,0.0008966,0.0001621,5.407e-05,0.1021,0.001
112,0.07684,0.04684,0.0009019,0.0001597,5.649e-05,0.1022,0.001
113,0.07548,0.04547,0.0009027,0.0001573,5.828e-05,0.1022,0.001
114,0.07392,0.0439,0.0008999,0.0001551,5.884e-05,0.1023,0.001
115,0.07736,0.04755,0.0009073,0.0001529,5.795e-05,0.1023,0.001
116,0.0753,0.04546,0.0009094,0.0001508,5.531e-05,0.1023,0.001
117,0.07381,0.04397,0.000918,0.0001488,5.129e-05,0.1023,0.001
118,0.07806,0.04836,0.000921,0.0001468,4.62e-05,0.1022,0.001
119,0.07523,0.04551,0.0009244,0.0001448,4.062e-05,0.1022,0.001
120,0.07778,0.04808,0.0009344,0.000143,3.482e-05,0.1022,0.001
121,0.07461,0.0453,0.0009405,0.0001411,2.933e-05,0.1022,0.001
122,0.07293,0.04399,0.0009474,0.0001394,2.447e-05,0.1022,0.001
123,0.07334,0.04475,0.0009487,0.0001377,2.048e-05,0.1022,0.001
124,0.07334,0.04508,0.0009566,0.0001361,1.735e-05,0.1022,0.001
125,0.07096,0.04303,0.0009628,0.0001345,1.509e-05,0.1022,0.001
126,0.07267,0.04504,0.000968,0.0001329,1.37e-05,0.1022,0.001
127,0.07131,0.04399,0.0009685,0.0001314,1.291e-05,0.1022,0.001
128,0.06925,0.04222,0.0009734,0.0001299,1.259e-05,0.1023,0.001
129,0.07351,0.04678,0.0009776,0.0001285,1.272e-05,0.1023,0.001
130,0.07192,0.04547,0.0009732,0.0001271,1.311e-05,0.1023,0.001
131,0.07116,0.04498,0.0009786,0.0001257,1.385e-05,0.1023,0.001
132,0.07311,0.04719,0.0009773,0.0001244,1.454e-05,0.1023,0.001
133,0.07344,0.04776,0.0009748,0.0001231,1.517e-05,0.1023,0.001
134,0.06967,0.04424,0.0009804,0.0001219,1.561e-05,0.1023,0.001
135,0.07157,0.04638,0.0009783,0.0001206,1.55e-05,0.1023,0.001
136,0.0701,0.04515,0.0009824,0.0001195,1.511e-05,0.1023,0.001
137,0.06721,0.0425,0.0009814,0.0001183,1.458e-05,0.1023,0.001
138,0.06763,0.04315,0.0009857,0.0001171,1.391e-05,0.1022,0.001
139,0.06929,0.04503,0.000987,0.000116,1.312e-05,0.1022,0.001
140,0.0691,0.04507,0.0009864,0.0001149,1.227e-05,0.1022,0.001
141,0.07167,0.04785,0.0009858,0.0001139,1.151e-05,0.1022,0.001
142,0.0667,0.04309,0.000985,0.0001128,1.102e-05,0.1021,0.001
143,0.06996,0.04655,0.0009822,0.0001118,1.071e-05,0.1021,0.001
144,0.06969,0.04649,0.0009805,0.0001109,1.049e-05,0.1021,0.001
145,0.07027,0.04726,0.0009807,0.0001099,1.048e-05,0.1021,0.001
146,0.06518,0.04235,0.00098,0.000109,1.058e-05,0.1021,0.001
147,0.0686,0.04596,0.0009794,0.0001081,1.086e-05,0.1021,0.001
148,0.06848,0.04602,0.0009746,0.0001072,1.128e-05,0.1021,0.001
149,0.06712,0.04483,0.0009725,0.0001063,1.161e-05,0.1021,0.001
150,0.06731,0.04519,0.0009724,0.0001054,1.209e-05,0.1021,0.001
151,0.0643,0.04235,0.0009669,0.0001046,1.261e-05,0.102,0.001
152,0.06629,0.0445,0.0009685,0.0001038,1.313e-05,0.102,0.001
153,0.06607,0.04444,0.0009662,0.000103,1.359e-05,0.102,0.001
154,0.06318,0.04171,0.0009637,0.0001022,1.396e-05,0.102,0.001
155,0.06202,0.0407,0.0009632,0.0001014,1.417e-05,0.102,0.001
156,0.06571,0.04454,0.0009626,0.0001007,1.43e-05,0.102,0.001
157,0.06433,0.04331,0.0009627,9.994e-05,1.435e-05,0.102,0.001
158,0.06526,0.04439,0.0009556,9.921e-05,1.405e-05,0.102,0.001
159,0.06518,0.04446,0.0009543,9.85e-05,1.354e-05,0.102,0.001
160,0.06484,0.04426,0.000956,9.781e-05,1.294e-05,0.102,0.001
161,0.06509,0.04465,0.0009584,9.713e-05,1.242e-05,0.102,0.001
162,0.06016,0.03985,0.0009542,9.646e-05,1.191e-05,0.102,0.001
163,0.06489,0.04472,0.0009477,9.581e-05,1.152e-05,0.102,0.001
164,0.06489,0.04486,0.0009447,9.517e-05,1.123e-05,0.102,0.001
165,0.06615,0.04624,0.0009464,9.454e-05,1.096e-05,0.102,0.001
166,0.06391,0.04413,0.0009413,9.392e-05,1.068e-05,0.102,0.001
167,0.06485,0.04519,0.0009447,9.332e-05,1.04e-05,0.102,0.001
168,0.06165,0.04212,0.0009385,9.273e-05,1.025e-05,0.102,0.001
169,0.06249,0.04308,0.0009358,9.215e-05,1.013e-05,0.102,0.001
170,0.06354,0.04424,0.0009333,9.159e-05,1.017e-05,0.102,0.001
171,0.06175,0.04256,0.0009338,9.103e-05,1.005e-05,0.102,0.001
172,0.06328,0.04421,0.0009291,9.048e-05,1.003e-05,0.102,0.001
173,0.05965,0.04069,0.0009292,8.994e-05,9.923e-06,0.102,0.001
174,0.06277,0.04391,0.000925,8.941e-05,9.775e-06,0.102,0.001
175,0.06182,0.04307,0.000924,8.889e-05,9.534e-06,0.102,0.001
176,0.0654,0.04675,0.0009235,8.837e-05,9.241e-06,0.102,0.001
177,0.06335,0.04482,0.0009167,8.787e-05,8.913e-06,0.102,0.001
178,0.06171,0.04328,0.0009155,8.738e-05,8.671e-06,0.102,0.001
179,0.05887,0.04054,0.0009111,8.689e-05,8.575e-06,0.102,0.001
180,0.06179,0.04356,0.0009111,8.641e-05,8.394e-06,0.102,0.001
181,0.06139,0.04325,0.0009094,8.594e-05,8.208e-06,0.102,0.001
182,0.06492,0.04689,0.0009007,8.547e-05,7.981e-06,0.102,0.001
