it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,25.12,0.06435,0.01104,0.1049,0.8248,0.7086,0.001
2,20.61,0.1363,0.02146,0.08581,0.6852,0.6541,0.001
3,17.25,0.2248,0.03628,0.07326,0.5122,0.6206,0.001
4,14.7,0.2989,0.054,0.06471,0.3379,0.6062,0.001
5,13.09,0.3595,0.07213,0.06032,0.1873,0.6072,0.001
6,12.44,0.4566,0.08973,0.05971,0.07759,0.6165,0.001
7,12.47,0.5245,0.105,0.0612,0.0179,0.6262,0.001
8,12.78,0.6552,0.1161,0.0631,0.0003555,0.6313,0.001
9,13.07,0.6718,0.1214,0.06439,0.004486,0.6291,0.001
10,13.08,0.6654,0.1205,0.06425,0.01056,0.6195,0.001
11,12.69,0.6373,0.1141,0.06234,0.009695,0.6039,0.001
12,11.99,0.5985,0.1045,0.05905,0.003973,0.5848,0.001
13,11.18,0.5324,0.09195,0.05516,0.0001865,0.564,0.001
14,10.41,0.5027,0.07918,0.05125,0.004285,0.5434,0.001
15,9.746,0.4491,0.06658,0.04765,0.0188,0.524,0.001
16,9.222,0.3956,0.05553,0.0445,0.04258,0.5066,0.001
17,8.833,0.333,0.04559,0.0419,0.07189,0.4915,0.001
18,8.554,0.3144,0.03739,0.0398,0.102,0.4782,0.001
19,8.316,0.292,0.03042,0.03798,0.1285,0.4658,0.001
20,8.051,0.2417,0.02486,0.03622,0.1483,0.4535,0.001
21,7.735,0.2431,0.02015,0.03436,0.1599,0.4403,0.001
22,7.342,0.2239,0.01703,0.03235,0.1628,0.4259,0.001
23,6.88,0.2138,0.0141,0.03019,0.1575,0.4098,0.001
24,6.355,0.2095,0.01169,0.02787,0.1454,0.3923,0.001
25,5.785,0.2043,0.01002,0.02545,0.1283,0.3736,0.001
26,5.196,0.2064,0.008404,0.02301,0.1081,0.3544,0.001
27,4.615,0.1975,0.007122,0.02065,0.08674,0.3353,0.001
28,4.068,0.1978,0.005985,0.01843,0.06603,0.3169,0.001
29,3.567,0.1949,0.004832,0.01639,0.04744,0.2994,0.001
30,3.121,0.2078,0.003796,0.01453,0.03196,0.2828,0.001
31,2.723,0.2033,0.002905,0.01284,0.02003,0.2671,0.001
32,2.376,0.2017,0.002166,0.01131,0.01155,0.2518,0.001
33,2.078,0.2113,0.001612,0.009941,0.006061,0.2367,0.001
34,1.813,0.2018,0.001419,0.008698,0.002856,0.2218,0.001
35,1.58,0.1988,0.001526,0.00757,0.001206,0.2074,0.001
36,1.377,0.2031,0.001955,0.006561,0.0004861,0.1941,0.001
37,1.204,0.207,0.002712,0.005682,0.0002403,0.1826,0.001
38,1.058,0.1994,0.00397,0.004947,0.0001905,0.1736,0.001
39,0.9428,0.2012,0.005292,0.004355,0.0001965,0.1675,0.001
40,0.8507,0.1904,0.006786,0.003897,0.0002046,0.1641,0.001
41,0.786,0.1935,0.007948,0.003555,0.0002041,0.1625,0.001
42,0.7363,0.187,0.008821,0.003305,0.0001984,0.162,0.001
43,0.6994,0.183,0.009373,0.003117,0.0001925,0.1614,0.001
44,0.6665,0.176,0.009348,0.002958,0.0001897,0.16,0.001
45,0.6303,0.1625,0.009174,0.002796,0.0001928,0.1573,0.001
46,0.5896,0.1532,0.008162,0.002608,0.000206,0.1532,0.001
47,0.5431,0.1472,0.00714,0.002386,0.0002339,0.1479,0.001
