it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,47.99,0.1447,0.006986,0.2168,0.9257,1.031,0.001
2,41.85,0.05521,0.001974,0.1848,0.9767,0.9687,0.001
3,36.72,0.01787,0.0003897,0.1588,0.9916,0.9095,0.001
4,32.4,0.01579,0.002085,0.1377,0.971,0.8551,0.001
5,28.74,0.03745,0.006718,0.1207,0.9185,0.8061,0.001
6,25.63,0.07983,0.01394,0.1071,0.8401,0.7628,0.001
7,22.93,0.1227,0.02322,0.09594,0.7426,0.7255,0.001
8,20.57,0.1909,0.0343,0.08681,0.6331,0.6947,0.001
9,18.54,0.2349,0.04676,0.07941,0.5183,0.6706,0.001
10,16.86,0.2831,0.06024,0.07378,0.4043,0.6538,0.001
11,15.59,0.3215,0.07436,0.06999,0.2971,0.6442,0.001
12,14.75,0.3777,0.08922,0.06807,0.202,0.6412,0.001
13,14.34,0.4222,0.1036,0.06784,0.1238,0.6436,0.001
14,14.28,0.507,0.1175,0.06889,0.06561,0.6496,0.001
15,14.46,0.5666,0.1298,0.07062,0.02781,0.657,0.001
16,14.74,0.608,0.1403,0.0724,0.007777,0.6639,0.001
17,14.99,0.595,0.148,0.07377,0.0005964,0.669,0.001
18,15.15,0.6466,0.1525,0.07449,0.0005805,0.6713,0.001
19,15.17,0.6618,0.1538,0.0745,0.00285,0.6703,0.001
20,15.04,0.5855,0.1523,0.07385,0.004291,0.666,0.001
21,14.8,0.6761,0.1475,0.07258,0.003792,0.6584,0.001
22,14.41,0.6146,0.1418,0.07075,0.001903,0.648,0.001
23,13.93,0.6182,0.133,0.06839,0.0002113,0.6353,0.001
24,13.36,0.5671,0.1228,0.06559,0.0006276,0.6211,0.001
25,12.75,0.553,0.1125,0.06251,0.004783,0.6059,0.001
26,12.14,0.5105,0.1013,0.05932,0.01364,0.5905,0.001
27,11.57,0.4682,0.09051,0.0562,0.02733,0.5755,0.001
28,11.07,0.445,0.08019,0.0533,0.04529,0.5612,0.001
29,10.63,0.368,0.07035,0.05068,0.06641,0.5477,0.001
30,10.27,0.3826,0.0612,0.04833,0.08931,0.5351,0.001
31,9.942,0.3241,0.05289,0.04621,0.1126,0.5233,0.001
32,9.652,0.3165,0.0456,0.04423,0.135,0.5119,0.001
33,9.36,0.284,0.03914,0.04233,0.1554,0.5008,0.001
34,9.061,0.2577,0.03325,0.04045,0.1729,0.4896,0.001
35,8.745,0.2414,0.02833,0.03855,0.1871,0.4782,0.001
36,8.4,0.2093,0.0244,0.03663,0.1974,0.4662,0.001
37,8.036,0.2062,0.02083,0.03467,0.2036,0.4536,0.001
38,7.636,0.173,0.01764,0.03267,0.2059,0.4403,0.001
39,7.218,0.1695,0.01502,0.03063,0.2042,0.426,0.001
40,6.771,0.1509,0.01281,0.02857,0.199,0.411,0.001
41,6.308,0.1482,0.01103,0.02647,0.1905,0.3951,0.001
42,5.827,0.1411,0.009535,0.02436,0.1793,0.3785,0.001
43,5.337,0.136,0.008254,0.02226,0.1659,0.3613,0.001
44,4.844,0.1274,0.007219,0.02018,0.1508,0.3437,0.001
45,4.356,0.1235,0.006213,0.01815,0.1346,0.3258,0.001
46,3.881,0.1168,0.005488,0.01621,0.1179,0.3078,0.001
47,3.428,0.1164,0.004757,0.01436,0.1013,0.2899,0.001
48,2.999,0.1128,0.004171,0.01262,0.08525,0.2724,0.001
49,2.597,0.1033,0.003619,0.011,0.07021,0.2552,0.001
50,2.227,0.09721,0.003098,0.009506,0.05652,0.2385,0.001
51,1.893,0.09519,0.00261,0.008137,0.04443,0.2225,0.001
52,1.59,0.09059,0.002147,0.006891,0.03405,0.2072,0.001
53,1.32,0.08669,0.001719,0.005764,0.02542,0.1928,0.001
54,1.081,0.08073,0.001323,0.004756,0.01844,0.1791,0.001
55,0.8739,0.07696,0.0009988,0.003864,0.01298,0.1665,0.001
56,0.6948,0.06962,0.0007174,0.003087,0.008835,0.155,0.001
57,0.546,0.06663,0.0004979,0.002424,0.005787,0.1446,0.001
58,0.4241,0.064,0.0003534,0.001874,0.00362,0.1356,0.001
59,0.3255,0.05833,0.0002753,0.00143,0.002136,0.1279,0.001
60,0.2521,0.05823,0.0002499,0.001085,0.001162,0.1218,0.001
61,0.1974,0.05614,0.000274,0.0008288,0.0005583,0.117,0.001
62,0.1596,0.05483,0.000327,0.0006492,0.0002152,0.1136,0.001
63,0.1362,0.05573,0.0003916,0.0005313,5.168e-05,0.1112,0.001
64,0.1197,0.05075,0.0004503,0.0004605,9.619e-06,0.1097,0.001
65,0.1119,0.04917,0.0004886,0.0004225,4.811e-05,0.1087,0.001
66,0.1115,0.05327,0.0004863,0.0004049,0.0001394,0.1082,0.001
67,0.1107,0.05259,0.0004509,0.000398,0.0002642,0.1079,0.001
68,0.1114,0.05286,0.0003923,0.0003948,0.0004089,0.1078,0.001
69,0.1094,0.04868,0.0003157,0.0003911,0.0005637,0.1077,0.001
70,0.1112,0.05203,0.0002309,0.0003848,0.0007203,0.1079,0.001
71,0.1082,0.04822,0.0001685,0.0003758,0.0008707,0.1082,0.001
72,0.1069,0.04795,0.0001282,0.0003648,0.001009,0.1087,0.001
73,0.1056,0.048,0.0001452,0.000353,0.001128,0.1094,0.001
74,0.1047,0.04873,0.0001923,0.0003418,0.001223,0.1102,0.001
75,0.1029,0.04756,0.0003064,0.0003322,0.00129,0.1112,0.001
76,0.101,0.04571,0.0004694,0.0003246,0.001327,0.1121,0.001
77,0.1026,0.04897,0.0006726,0.0003192,0.001332,0.1129,0.001
78,0.103,0.05012,0.0008846,0.0003153,0.001306,0.1135,0.001
79,0.09992,0.04589,0.00111,0.0003118,0.00125,0.1138,0.001
80,0.103,0.05152,0.001324,0.0003075,0.00117,0.1139,0.001
81,0.1009,0.0499,0.001535,0.0003015,0.00107,0.1136,0.001
82,0.1007,0.05208,0.00171,0.0002932,0.0009566,0.113,0.001
83,0.09565,0.0478,0.001878,0.0002827,0.0008353,0.1121,0.001
84,0.09403,0.04919,0.001968,0.0002704,0.0007122,0.111,0.001
85,0.08846,0.04523,0.002055,0.000257,0.0005934,0.1097,0.001
86,0.08381,0.0427,0.00209,0.0002435,0.0004828,0.1084,0.001
87,0.07995,0.04125,0.002045,0.0002304,0.0003838,0.107,0.001
88,0.08371,0.04999,0.001993,0.0002178,0.0002982,0.1058,0.001
89,0.07657,0.04365,0.001917,0.0002057,0.0002268,0.1047,0.001
90,0.07874,0.04974,0.001855,0.0001937,0.0001691,0.1038,0.001
91,0.07302,0.04543,0.001713,0.0001812,0.0001242,0.1031,0.001
92,0.06998,0.04477,0.001601,0.000168,9.049e-05,0.1025,0.001
93,0.06849,0.04627,0.001489,0.000154,6.6e-05,0.1022,0.001
94,0.0641,0.04416,0.001367,0.0001394,4.873e-05,0.102,0.001
95,0.06169,0.04464,0.001247,0.0001246,3.706e-05,0.102,0.001
96,0.05861,0.04416,0.001129,0.00011,2.941e-05,0.102,0.001
97,0.05637,0.04451,0.001044,9.609e-05,2.465e-05,0.1021,0.001
98,0.05429,0.04479,0.0009333,8.337e-05,2.18e-05,0.1022,0.001
99,0.05295,0.04554,0.0008566,7.21e-05,2.028e-05,0.1023,0.001
100,0.04853,0.04215,0.0007999,6.252e-05,1.971e-05,0.1023,0.001
101,0.04886,0.04407,0.0007185,5.471e-05,1.963e-05,0.1024,0.001
102,0.04837,0.04455,0.0006702,4.867e-05,1.975e-05,0.1024,0.001
103,0.04488,0.04114,0.0006082,4.428e-05,1.979e-05,0.1023,0.001
104,0.0487,0.04588,0.0005661,4.136e-05,1.945e-05,0.1023,0.001
105,0.04453,0.04113,0.0005251,3.961e-05,1.848e-05,0.1023,0.001
106,0.04638,0.04309,0.0004883,3.872e-05,1.679e-05,0.1022,0.001
107,0.04364,0.03975,0.0004557,3.837e-05,1.443e-05,0.1022,0.001
108,0.04883,0.04521,0.0004254,3.827e-05,1.164e-05,0.1022,0.001
109,0.05053,0.04673,0.0003964,3.825e-05,8.753e-06,0.1022,0.001
110,0.05011,0.04588,0.0003753,3.82e-05,6.159e-06,0.1022,0.001
111,0.04638,0.0415,0.0003497,3.81e-05,4.234e-06,0.1022,0.001
112,0.04909,0.0441,0.0003259,3.797e-05,3.226e-06,0.1022,0.001
