it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,39.61,0.05369,0.0002954,0.1742,0.9536,0.9001,0.001
2,32.64,0.03124,0.002716,0.1391,0.9618,0.8415,0.001
3,28.6,0.1321,0.009691,0.1204,0.9029,0.7884,0.001
4,25.63,0.2071,0.01828,0.1079,0.8048,0.7401,0.001
5,22.72,0.2753,0.02778,0.09617,0.6899,0.6977,0.001
6,19.83,0.2988,0.03833,0.08471,0.5679,0.6635,0.001
7,17.27,0.2963,0.05048,0.07494,0.4434,0.6397,0.001
8,15.38,0.3444,0.06475,0.0684,0.3216,0.6277,0.001
9,14.31,0.3923,0.08105,0.06577,0.2099,0.6268,0.001
10,14.03,0.4475,0.09861,0.06653,0.1176,0.6344,0.001
11,14.25,0.4972,0.1164,0.06915,0.05177,0.6468,0.001
12,14.68,0.5689,0.1331,0.07209,0.01425,0.6607,0.001
13,15.12,0.6062,0.1469,0.07453,0.000629,0.6734,0.001
14,15.52,0.6832,0.1578,0.07635,0.002486,0.6827,0.001
15,15.83,0.718,0.1646,0.07764,0.01028,0.6872,0.001
16,16.0,0.7217,0.1673,0.07829,0.01616,0.686,0.001
17,15.95,0.6733,0.1654,0.07802,0.01615,0.679,0.001
18,15.64,0.6912,0.16,0.07662,0.01072,0.6673,0.001
19,15.11,0.6728,0.1512,0.07418,0.0037,0.6525,0.001
20,14.45,0.5414,0.1404,0.07111,2.147e-05,0.6363,0.001
21,13.85,0.6009,0.128,0.06798,0.003588,0.6206,0.001
22,13.33,0.5099,0.116,0.06519,0.01617,0.6065,0.001
23,12.97,0.4653,0.1037,0.06295,0.03731,0.5948,0.001
24,12.74,0.4214,0.09236,0.0612,0.06493,0.5855,0.001
25,12.61,0.4014,0.08248,0.05981,0.09612,0.5783,0.001
26,12.52,0.3736,0.07373,0.05865,0.1278,0.5729,0.001
27,12.47,0.3466,0.06653,0.05771,0.1574,0.5686,0.001
28,12.45,0.3618,0.06077,0.05697,0.1825,0.5648,0.001
29,12.42,0.3221,0.0561,0.0564,0.202,0.5609,0.001
30,12.4,0.3568,0.05251,0.05589,0.2151,0.5563,0.001
31,12.3,0.3261,0.04969,0.05529,0.2218,0.5509,0.001
32,12.15,0.3579,0.04753,0.05448,0.2223,0.5444,0.001
33,11.92,0.3437,0.04588,0.05346,0.2172,0.5372,0.001
34,11.64,0.347,0.04462,0.05229,0.2071,0.5296,0.001
35,11.32,0.3373,0.0438,0.05106,0.1929,0.5218,0.001
36,10.98,0.3068,0.04332,0.04986,0.1754,0.5142,0.001
37,10.66,0.3339,0.04308,0.04869,0.156,0.5068,0.001
38,10.33,0.2956,0.04294,0.04755,0.1358,0.4997,0.001
39,10.0,0.3086,0.04274,0.04639,0.1162,0.4927,0.001
40,9.68,0.3188,0.04237,0.04521,0.09798,0.4855,0.001
