it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,25.12,0.06435,0.01104,0.1049,0.8248,0.7086,0.001
2,20.61,0.1363,0.02146,0.08581,0.6852,0.6541,0.001
3,17.25,0.2248,0.03628,0.07326,0.5122,0.6206,0.001
4,14.69,0.299,0.05401,0.06471,0.3379,0.6062,0.001
5,13.08,0.3596,0.07214,0.06032,0.1872,0.6073,0.001
6,12.43,0.4567,0.08975,0.05971,0.07753,0.6165,0.001
7,12.45,0.5247,0.1051,0.06121,0.01784,0.6263,0.001
8,12.76,0.6556,0.1162,0.06312,0.0003454,0.6315,0.001
9,13.05,0.6723,0.1215,0.06441,0.004563,0.6293,0.001
10,13.05,0.6662,0.1206,0.06429,0.01072,0.6197,0.001
11,12.66,0.6384,0.1142,0.06239,0.009894,0.6041,0.001
12,11.97,0.5999,0.1046,0.0591,0.004119,0.585,0.001
13,11.16,0.534,0.0921,0.05521,0.0002007,0.5643,0.001
14,10.38,0.5045,0.07933,0.05129,0.004113,0.5436,0.001
15,9.717,0.4512,0.06672,0.04768,0.01842,0.5241,0.001
16,9.192,0.398,0.05567,0.04453,0.042,0.5067,0.001
17,8.804,0.3356,0.04572,0.04192,0.07113,0.4916,0.001
18,8.523,0.3174,0.03751,0.03981,0.1011,0.4782,0.001
19,8.284,0.2957,0.03053,0.03799,0.1275,0.4658,0.001
20,8.022,0.2457,0.02496,0.03622,0.1473,0.4534,0.001
21,7.703,0.2477,0.02023,0.03436,0.1588,0.4403,0.001
22,7.312,0.2297,0.01712,0.03235,0.1617,0.4259,0.001
23,6.849,0.2205,0.01418,0.03018,0.1564,0.4099,0.001
24,6.325,0.217,0.01174,0.02787,0.1444,0.3923,0.001
25,5.755,0.2136,0.01008,0.02545,0.1273,0.3737,0.001
26,5.167,0.2178,0.008442,0.02302,0.1072,0.3546,0.001
27,4.587,0.2105,0.007153,0.02066,0.0859,0.3356,0.001
28,4.041,0.2133,0.00601,0.01845,0.06527,0.3173,0.001
29,3.541,0.2129,0.004842,0.01641,0.04678,0.3,0.001
30,3.093,0.2315,0.003791,0.01455,0.03141,0.2836,0.001
31,2.697,0.2306,0.002885,0.01286,0.01959,0.268,0.001
32,2.351,0.2334,0.002134,0.01134,0.01122,0.2529,0.001
33,2.051,0.25,0.001568,0.009965,0.005831,0.2381,0.001
34,1.787,0.2436,0.001374,0.008723,0.002711,0.2236,0.001
35,1.555,0.2464,0.001487,0.007597,0.00113,0.2096,0.001
36,1.353,0.2555,0.001925,0.006589,0.0004601,0.1968,0.001
37,1.18,0.2671,0.002705,0.005715,0.0002489,0.186,0.001
38,1.035,0.2606,0.004028,0.004985,0.0002206,0.1778,0.001
39,0.9218,0.2681,0.005426,0.004402,0.0002385,0.1724,0.001
40,0.8333,0.2572,0.007019,0.003953,0.0002523,0.1697,0.001
41,0.7706,0.2674,0.008271,0.003623,0.0002538,0.169,0.001
42,0.7239,0.2613,0.009226,0.003384,0.0002488,0.1691,0.001
43,0.6896,0.258,0.009877,0.003207,0.0002435,0.1692,0.001
44,0.6593,0.2502,0.009911,0.003057,0.0002424,0.1683,0.001
45,0.6264,0.2329,0.009831,0.002902,0.0002491,0.1661,0.001
46,0.5882,0.2241,0.008803,0.002718,0.0002676,0.1624,0.001
47,0.5428,0.218,0.007794,0.002497,0.0003028,0.1573,0.001
