it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,67.48,2.569,0.1746,0.2887,1.91,0.8014,0.001
2,44.72,2.051,0.1344,0.1947,1.128,0.6946,0.001
3,28.63,1.484,0.1035,0.127,0.6224,0.6029,0.001
4,18.13,1.09,0.07925,0.08254,0.3064,0.5296,0.001
5,12.01,0.8918,0.06129,0.05659,0.1237,0.4771,0.001
6,9.031,0.7726,0.04812,0.04398,0.0344,0.4458,0.001
7,8.079,0.686,0.03867,0.03992,0.007875,0.4328,0.001
8,8.249,0.6287,0.03194,0.04048,0.02099,0.4332,0.001
9,8.884,0.5801,0.02714,0.04277,0.05723,0.4415,0.001
10,9.57,0.5601,0.02383,0.045,0.1054,0.4536,0.001
11,10.09,0.5441,0.02087,0.04628,0.1582,0.4663,0.001
12,10.36,0.5105,0.01856,0.04635,0.2107,0.4779,0.001
13,10.4,0.4689,0.01675,0.04535,0.2594,0.4873,0.001
14,10.26,0.457,0.01475,0.04357,0.3019,0.4938,0.001
15,9.987,0.452,0.01323,0.04135,0.3361,0.497,0.001
16,9.632,0.4553,0.01143,0.03896,0.3609,0.4964,0.001
17,9.222,0.4022,0.01024,0.03656,0.3753,0.492,0.001
18,8.773,0.3922,0.008614,0.03422,0.3793,0.4839,0.001
19,8.285,0.3879,0.007317,0.03194,0.3731,0.4723,0.001
20,7.755,0.377,0.006337,0.02968,0.3575,0.4576,0.001
21,7.183,0.3566,0.005304,0.02742,0.3339,0.4403,0.001
22,6.578,0.362,0.004641,0.02514,0.3036,0.4213,0.001
23,5.95,0.3638,0.00415,0.02288,0.2683,0.4012,0.001
24,5.319,0.3478,0.003806,0.02069,0.2298,0.3808,0.001
25,4.713,0.3576,0.003623,0.01865,0.19,0.3611,0.001
26,4.157,0.3664,0.003751,0.01684,0.1509,0.3429,0.001
27,3.674,0.3438,0.003869,0.01534,0.1143,0.327,0.001
28,3.285,0.335,0.00414,0.0142,0.08186,0.3137,0.001
29,3.001,0.3396,0.004459,0.01345,0.05491,0.3032,0.001
30,2.816,0.3283,0.004768,0.01304,0.03413,0.2954,0.001
31,2.717,0.3389,0.00497,0.01289,0.0196,0.2895,0.001
32,2.673,0.3195,0.005158,0.0129,0.01069,0.2849,0.001
33,2.656,0.3179,0.005094,0.01293,0.006211,0.2806,0.001
34,2.634,0.3116,0.004907,0.01285,0.004712,0.276,0.001
35,2.581,0.3106,0.004564,0.01258,0.004747,0.2705,0.001
36,2.482,0.2856,0.004015,0.01209,0.005177,0.2641,0.001
37,2.341,0.2845,0.003451,0.01138,0.00533,0.2566,0.001
38,2.162,0.2735,0.002814,0.0105,0.005004,0.2486,0.001
39,1.963,0.2714,0.002294,0.009518,0.004359,0.2402,0.001
40,1.757,0.2505,0.001734,0.008517,0.003738,0.232,0.001
41,1.565,0.248,0.001434,0.007562,0.003502,0.2242,0.001
42,1.393,0.2334,0.00114,0.006698,0.003907,0.2172,0.001
43,1.249,0.2297,0.001082,0.005948,0.005042,0.211,0.001
44,1.129,0.2052,0.001137,0.005316,0.006831,0.2055,0.001
45,1.037,0.2199,0.001327,0.004789,0.009073,0.2006,0.001
46,0.9609,0.2089,0.001585,0.004349,0.0115,0.196,0.001
47,0.8977,0.1979,0.00193,0.003979,0.01381,0.1915,0.001
48,0.8469,0.2085,0.002321,0.003662,0.01578,0.187,0.001
49,0.7991,0.1986,0.002698,0.00339,0.0172,0.1823,0.001
50,0.7564,0.1918,0.003105,0.003157,0.01798,0.1774,0.001
51,0.7197,0.1958,0.003438,0.002962,0.01809,0.1723,0.001
52,0.6836,0.1803,0.003703,0.002804,0.01758,0.167,0.001
53,0.654,0.1789,0.004038,0.002678,0.01653,0.1616,0.001
54,0.6299,0.1893,0.004249,0.002581,0.01508,0.1564,0.001
55,0.6045,0.1769,0.004443,0.002504,0.01337,0.1514,0.001
56,0.5834,0.1802,0.004584,0.002437,0.01156,0.1468,0.001
57,0.5637,0.1886,0.004641,0.002372,0.009756,0.1428,0.001
58,0.541,0.1842,0.004659,0.002302,0.008063,0.1393,0.001
59,0.5181,0.183,0.004715,0.002223,0.006549,0.1365,0.001
60,0.4924,0.1719,0.00467,0.002136,0.005251,0.1343,0.001
61,0.4693,0.1744,0.004499,0.002042,0.004181,0.1329,0.001
62,0.4448,0.1639,0.004464,0.001949,0.003332,0.132,0.001
63,0.4276,0.1778,0.004361,0.001863,0.002683,0.1317,0.001
64,0.4084,0.1661,0.004284,0.001788,0.002205,0.1318,0.001
65,0.3948,0.1631,0.004264,0.00173,0.001866,0.1321,0.001
