it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,92.16,2.519,0.06141,0.4489,0.4605,1.09,0.001
2,75.39,1.706,0.04548,0.3617,0.6009,1.036,0.001
4,50.04,0.6888,0.02015,0.2293,0.8298,0.941,0.001
6,35.05,0.2182,0.006793,0.1519,0.9334,0.8597,0.001
8,27.69,0.0892,0.005813,0.116,0.8956,0.7865,0.001
10,23.84,0.1528,0.01444,0.1002,0.7544,0.7188,0.001
12,20.53,0.3111,0.02929,0.08838,0.5617,0.6597,0.001
14,17.08,0.4212,0.04853,0.07612,0.3575,0.6178,0.001
16,14.32,0.4215,0.07087,0.06669,0.1773,0.5999,0.001
18,13.04,0.5401,0.09348,0.0632,0.05515,0.6028,0.001
20,13.12,0.5934,0.1119,0.06473,0.004503,0.6136,0.001
22,13.58,0.6459,0.1216,0.06698,0.003014,0.6175,0.001
24,13.44,0.6159,0.1207,0.06606,0.01074,0.6071,0.001
26,12.47,0.5405,0.1106,0.06137,0.007423,0.584,0.001
28,11.16,0.4646,0.09523,0.05507,0.000622,0.5548,0.001
30,10.04,0.4787,0.07855,0.04945,0.004596,0.5261,0.001
32,9.295,0.3735,0.06326,0.04536,0.02388,0.5012,0.001
34,8.823,0.3656,0.05056,0.04233,0.05293,0.4799,0.001
36,8.393,0.303,0.0406,0.03951,0.08288,0.4601,0.001
38,7.897,0.2749,0.03311,0.03648,0.1065,0.4405,0.001
40,7.332,0.2183,0.02756,0.03338,0.1198,0.4205,0.001
42,6.762,0.203,0.02355,0.03049,0.1222,0.4002,0.001
44,6.211,0.1873,0.02065,0.02793,0.1154,0.3801,0.001
46,5.67,0.1895,0.01847,0.02555,0.1024,0.3606,0.001
48,5.114,0.1918,0.01672,0.02318,0.08618,0.3419,0.001
50,4.545,0.1882,0.0152,0.02076,0.06943,0.3242,0.001
52,3.996,0.1954,0.01379,0.0184,0.05377,0.3076,0.001
54,3.492,0.1941,0.01246,0.01622,0.04018,0.2918,0.001
56,3.039,0.1971,0.01114,0.01423,0.0291,0.2763,0.001
58,2.621,0.1927,0.009822,0.01236,0.02062,0.2603,0.001
60,2.231,0.1902,0.008498,0.01056,0.01451,0.2436,0.001
62,1.876,0.1985,0.007275,0.008882,0.01036,0.2263,0.001
64,1.57,0.1968,0.006182,0.007419,0.007661,0.2091,0.001
66,1.316,0.1855,0.005277,0.006201,0.005948,0.1926,0.001
68,1.107,0.1893,0.004538,0.005179,0.004845,0.1774,0.001
70,0.9243,0.183,0.003904,0.004286,0.004091,0.1641,0.001
72,0.7647,0.1777,0.00336,0.003505,0.003521,0.1526,0.001
74,0.6314,0.1694,0.002916,0.002857,0.003051,0.1429,0.001
76,0.5263,0.162,0.002585,0.002347,0.002648,0.1344,0.001
78,0.4444,0.1576,0.002342,0.001948,0.00231,0.1265,0.001
80,0.3759,0.1435,0.00216,0.001627,0.002039,0.119,0.001
82,0.3243,0.1417,0.002014,0.001372,0.001829,0.1123,0.001
84,0.2827,0.1284,0.00191,0.001183,0.001666,0.1069,0.001
86,0.2549,0.1258,0.001824,0.001047,0.001532,0.1031,0.001
88,0.2295,0.1105,0.001762,0.0009415,0.001408,0.1011,0.001
90,0.2104,0.1078,0.001718,0.0008498,0.001282,0.1005,0.001
92,0.1906,0.09585,0.001687,0.0007687,0.001149,0.101,0.001
94,0.1743,0.08677,0.001663,0.0007017,0.001013,0.1017,0.001
96,0.1629,0.08561,0.001637,0.0006472,0.00088,0.1023,0.001
98,0.1509,0.07858,0.001607,0.0005993,0.0007542,0.1023,0.001
100,0.1384,0.06838,0.001568,0.0005545,0.0006381,0.1019,0.001
102,0.13,0.06819,0.001527,0.0005132,0.0005349,0.1011,0.001
104,0.121,0.0639,0.001488,0.0004755,0.0004437,0.1001,0.001
106,0.1117,0.05758,0.001455,0.0004402,0.0003616,0.09923,0.001
108,0.1037,0.05434,0.001428,0.0004064,0.0002867,0.09844,0.001
110,0.09553,0.04913,0.001409,0.0003751,0.0002175,0.0977,0.001
112,0.09069,0.05084,0.001395,0.0003477,0.0001547,0.09694,0.001
114,0.08352,0.0444,0.001383,0.0003238,0.0001001,0.0961,0.001
116,0.07914,0.04398,0.001367,0.0003024,5.632e-05,0.09523,0.001
118,0.07445,0.04154,0.001349,0.0002832,2.525e-05,0.0944,0.001
120,0.07271,0.04529,0.001328,0.0002662,7.135e-06,0.09374,0.001
122,0.06995,0.04522,0.00131,0.0002513,3.158e-07,0.09329,0.001
124,0.06576,0.04078,0.001293,0.000238,1.578e-06,0.09305,0.001
126,0.06357,0.04054,0.001281,0.0002262,7.072e-06,0.09292,0.001
128,0.06153,0.03998,0.001268,0.0002157,1.335e-05,0.09281,0.001
130,0.0624,0.04557,0.001255,0.0002065,1.829e-05,0.09261,0.001
132,0.05968,0.04244,0.001242,0.0001983,2.118e-05,0.09228,0.001
134,0.05792,0.04127,0.001227,0.0001908,2.21e-05,0.09183,0.001
136,0.05658,0.04081,0.00121,0.0001838,2.158e-05,0.09134,0.001
138,0.05448,0.03849,0.001193,0.0001774,2.037e-05,0.09086,0.001
140,0.05333,0.03812,0.001175,0.0001713,1.9e-05,0.09044,0.001
142,0.0523,0.0379,0.001161,0.0001655,1.781e-05,0.09007,0.001
144,0.05005,0.03504,0.001144,0.00016,1.678e-05,0.08974,0.001
146,0.05062,0.03795,0.001126,0.0001547,1.606e-05,0.08941,0.001
148,0.05105,0.0404,0.001106,0.0001497,1.544e-05,0.08908,0.001
150,0.04835,0.03646,0.001087,0.0001448,1.486e-05,0.08875,0.001
152,0.04974,0.04061,0.001065,0.0001402,1.406e-05,0.08843,0.001
154,0.04698,0.03646,0.001047,0.0001357,1.294e-05,0.08811,0.001
156,0.04595,0.03569,0.001025,0.0001315,1.124e-05,0.08782,0.001
158,0.04602,0.03694,0.001008,0.0001275,9.251e-06,0.08754,0.001
160,0.04471,0.03552,0.0009903,0.0001237,7.283e-06,0.08725,0.001
162,0.04572,0.03834,0.0009677,0.0001201,5.494e-06,0.08694,0.001
164,0.04315,0.03447,0.0009515,0.0001167,4.078e-06,0.08661,0.001
166,0.04313,0.03526,0.0009323,0.0001134,3.037e-06,0.08627,0.001
168,0.0431,0.03593,0.0009156,0.0001103,2.364e-06,0.08593,0.001
170,0.04087,0.03265,0.0008972,0.0001073,1.987e-06,0.08561,0.001
172,0.04158,0.03451,0.0008792,0.0001045,1.858e-06,0.08532,0.001
174,0.04081,0.03373,0.0008655,0.0001019,1.925e-06,0.08503,0.001
176,0.04133,0.03511,0.0008513,9.935e-05,2.03e-06,0.08474,0.001
178,0.04177,0.03628,0.000839,9.696e-05,2.193e-06,0.08443,0.001
180,0.04054,0.0346,0.0008234,9.47e-05,2.353e-06,0.08411,0.001
182,0.03888,0.03222,0.0008107,9.256e-05,2.485e-06,0.0838,0.001
184,0.03809,0.03126,0.000799,9.053e-05,2.55e-06,0.08351,0.001
186,0.04016,0.0349,0.0007879,8.862e-05,2.553e-06,0.08323,0.001
188,0.04,0.03487,0.0007793,8.681e-05,2.608e-06,0.08295,0.001
190,0.04016,0.0353,0.0007686,8.51e-05,2.648e-06,0.08266,0.001
192,0.03757,0.03141,0.0007569,8.347e-05,2.689e-06,0.08236,0.001
194,0.03853,0.03306,0.0007492,8.193e-05,2.756e-06,0.08205,0.001
196,0.03738,0.03143,0.0007403,8.048e-05,2.77e-06,0.08175,0.001
198,0.0392,0.03429,0.0007314,7.91e-05,2.81e-06,0.08147,0.001
200,0.03792,0.03243,0.0007212,7.781e-05,2.871e-06,0.0812,0.001
202,0.03785,0.03238,0.0007159,7.66e-05,2.966e-06,0.08093,0.001
204,0.03898,0.03406,0.0007069,7.545e-05,3.055e-06,0.08065,0.001
206,0.03815,0.03286,0.0007002,7.436e-05,3.132e-06,0.08036,0.001
208,0.03838,0.03318,0.0006926,7.334e-05,3.068e-06,0.08007,0.001
210,0.03793,0.0325,0.0006855,7.238e-05,2.934e-06,0.07979,0.001
212,0.03797,0.03252,0.0006767,7.147e-05,2.822e-06,0.07951,0.001
214,0.03721,0.03141,0.0006727,7.06e-05,2.773e-06,0.07924,0.001
216,0.03697,0.03102,0.0006678,6.978e-05,2.752e-06,0.07898,0.001
218,0.0366,0.03045,0.0006622,6.9e-05,2.76e-06,0.07873,0.001
220,0.03697,0.03089,0.0006547,6.827e-05,2.721e-06,0.07848,0.001
222,0.03584,0.02927,0.0006515,6.757e-05,2.638e-06,0.07823,0.001
224,0.0377,0.03169,0.0006425,6.691e-05,2.601e-06,0.07796,0.001
226,0.03596,0.02928,0.0006379,6.626e-05,2.576e-06,0.0777,0.001
228,0.03465,0.02746,0.000634,6.566e-05,2.574e-06,0.07745,0.001
230,0.03642,0.02968,0.0006298,6.511e-05,2.501e-06,0.07722,0.001
232,0.03672,0.02995,0.0006254,6.461e-05,2.416e-06,0.07698,0.001
234,0.03568,0.02849,0.0006217,6.41e-05,2.378e-06,0.07674,0.001
236,0.03843,0.03188,0.0006173,6.362e-05,2.306e-06,0.07651,0.001
238,0.0375,0.03056,0.0006142,6.316e-05,2.287e-06,0.07628,0.001
240,0.03721,0.03006,0.0006094,6.272e-05,2.306e-06,0.07605,0.001
242,0.03738,0.03013,0.0006064,6.229e-05,2.42e-06,0.07584,0.001
244,0.03727,0.02984,0.0006016,6.19e-05,2.551e-06,0.07562,0.001
246,0.03696,0.02931,0.0006033,6.156e-05,2.568e-06,0.0754,0.001
248,0.03701,0.02923,0.0005957,6.122e-05,2.519e-06,0.07516,0.001
250,0.0379,0.03014,0.0005954,6.09e-05,2.354e-06,0.07492,0.001
252,0.03727,0.02923,0.0005887,6.058e-05,2.217e-06,0.07468,0.001
254,0.03765,0.02953,0.0005837,6.029e-05,2.196e-06,0.07445,0.001
256,0.03753,0.02922,0.0005829,6e-05,2.239e-06,0.07424,0.001
258,0.03942,0.03126,0.0005778,5.974e-05,2.323e-06,0.07403,0.001
260,0.0389,0.03047,0.0005765,5.952e-05,2.472e-06,0.0738,0.001
262,0.03848,0.02981,0.0005761,5.925e-05,2.693e-06,0.07354,0.001
